"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_additive_load","SD_additive_load"
"1",0.01,0.2,0,4819.97,136.01384770558
"2",0.01,0.2,0.2,4798.58,153.313251649403
"3",0.01,0.2,0.4,4838.9,144.502035915894
"4",0.01,0.2,0.6,4844.83,128.158602418009
"5",0.01,0.2,0.8,4950.78,165.64831798882
"6",0.01,0.2,0.95,29448.71,5039.17807410348
"7",0.01,0.2,0.99,54812.64,1182.53348571974
"8",0.01,0.2,1,58485.65,1004.43745123046
"9",0.01,0.5,0,2022.65,61.40417104906
"10",0.01,0.5,0.2,2026.63,70.366953762531
"11",0.01,0.5,0.4,2038.92,71.805387941113
"12",0.01,0.5,0.6,2034.1,76.1032658347004
"13",0.01,0.5,0.8,2061.31,81.1654620033806
"14",0.01,0.5,0.95,2693.67,214.555121358149
"15",0.01,0.5,0.99,3357.34,542.962100729216
"16",0.01,0.5,1,43161.18,909.230259198639
