"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_N_fixed_mutations","SD_N_fixed_mutations"
"1",0.01,0.2,0,0,0
"2",0.01,0.2,0.2,0,0
"3",0.01,0.2,0.4,0,0
"4",0.01,0.2,0.6,0,0
"5",0.01,0.2,0.8,0,0
"6",0.01,0.2,0.95,5.98,2.54248744819762
"7",0.01,0.2,0.99,1.47,1.702375049183
"8",0.01,0.2,1,0,0
"9",0.01,0.5,0,0,0
"10",0.01,0.5,0.2,0,0
"11",0.01,0.5,0.4,0,0
"12",0.01,0.5,0.6,0,0
"13",0.01,0.5,0.8,0,0
"14",0.01,0.5,0.95,14.68,3.5982038167773
"15",0.01,0.5,0.99,163.02,9.45267852585347
"16",0.01,0.5,1,0,0
