"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_recessive_load","SD_recessive_load"
"1",0.01,0.2,0,58.69,10.3178721085544
"2",0.01,0.2,0.2,59.96,12.2663372814802
"3",0.01,0.2,0.4,62.54,13.6843344778257
"4",0.01,0.2,0.6,68.01,14.9831521544983
"5",0.01,0.2,0.8,82.07,17.2978979279932
"6",0.01,0.2,0.95,584.88,287.246709856235
"7",0.01,0.2,0.99,174.1,225.133428450909
"8",0.01,0.2,1,0,0
"9",0.01,0.5,0,10.5,4.12555475302438
"10",0.01,0.5,0.2,11.46,5.55490501241648
"11",0.01,0.5,0.4,12.79,4.49083241254623
"12",0.01,0.5,0.6,13.05,5.52382351841786
"13",0.01,0.5,0.8,16.56,6.08246361570405
"14",0.01,0.5,0.95,218.66,66.4131878104907
"15",0.01,0.5,0.99,522.72,186.25680544817
"16",0.01,0.5,1,0,0
