"","g2","CI_lower","CI_upper","Rate","Rep"
"1",-7.1421215130929e-07,-8.48137440187524e-07,-5.51028044598612e-07,1,"Replicate99"
"2",-6.27237056849417e-07,-8.41278366517373e-07,-3.79575150566414e-07,1,"Replicate98"
"3",-3.71284899269853e-07,-6.33557446058641e-07,-3.01664711238604e-08,1,"Replicate97"
"4",-9.67800327988932e-07,-1.20631484514522e-06,-6.43436946140552e-07,1,"Replicate96"
"5",-5.86487611586861e-07,-8.16455293609075e-07,-3.13742364779768e-07,1,"Replicate95"
"6",1.81476788929658e-07,-1.84008315742834e-07,5.50150398370696e-07,1,"Replicate94"
"7",-3.75946435648977e-07,-5.74973691597203e-07,-2.25362869354928e-07,1,"Replicate93"
"8",-4.59290880772123e-07,-1.00517275531675e-06,1.42505034156359e-07,1,"Replicate92"
"9",-1.00902107558198e-07,-3.48082612394718e-07,2.19598382078523e-07,1,"Replicate91"
"10",-4.00233643116366e-07,-5.47537431558331e-07,-2.42885787801739e-07,1,"Replicate90"
"11",-4.25438638762543e-07,-6.78298565262581e-07,-1.15734906561138e-07,1,"Replicate9"
"12",-3.06155899854055e-07,-5.86331536595042e-07,1.36471567768748e-07,1,"Replicate89"
"13",-1.07964802553706e-06,-1.27217237848032e-06,-8.0973056887923e-07,1,"Replicate88"
"14",-1.05378247605703e-06,-1.33931653526487e-06,-5.84807408418598e-07,1,"Replicate87"
"15",-2.09474222412354e-07,-4.39683781935929e-07,1.02226749237877e-07,1,"Replicate86"
"16",-4.87316356156953e-08,-4.22255155083095e-07,2.72421631869468e-07,1,"Replicate85"
"17",-7.86108735550961e-07,-1.06178790005018e-06,-3.83116569796505e-07,1,"Replicate84"
"18",2.93265727702163e-07,3.7982627876243e-08,6.00045389431702e-07,1,"Replicate83"
"19",3.36425514335659e-07,-1.50020287092989e-07,1.02016195300814e-06,1,"Replicate82"
"20",2.26323130458894e-07,-6.38803033581325e-08,6.00384972732071e-07,1,"Replicate81"
"21",-1.10974946809783e-06,-1.31789441834007e-06,-8.80222805460518e-07,1,"Replicate80"
"22",-5.824548966471e-07,-1.03347466871573e-06,-5.53840783484863e-08,1,"Replicate8"
"23",-7.09795087039389e-07,-9.01404125758232e-07,-4.80811036282503e-07,1,"Replicate79"
"24",-3.81815653649475e-07,-5.77937823528774e-07,-8.32722407695386e-08,1,"Replicate78"
"25",-8.56083347877679e-07,-1.06871996716495e-06,-5.74808753275869e-07,1,"Replicate77"
"26",-1.34828962372602e-06,-1.54062921489395e-06,-1.04553677895414e-06,1,"Replicate76"
"27",-4.1676443607308e-07,-7.12479410031053e-07,-8.19663176082623e-08,1,"Replicate75"
"28",-3.13578250921154e-07,-6.21885735455074e-07,-9.44503224076243e-08,1,"Replicate74"
"29",-7.40937515675277e-07,-9.87068454291751e-07,-4.384589988915e-07,1,"Replicate73"
"30",-4.14751084809595e-07,-7.6256130667196e-07,-7.1820580249682e-08,1,"Replicate72"
"31",-5.27590230059438e-07,-7.9866467770362e-07,-2.70274016886396e-07,1,"Replicate71"
"32",-2.03897749351256e-07,-5.16423863067272e-07,1.83162611927523e-07,1,"Replicate70"
"33",-5.22481254927598e-08,-3.75200575067347e-07,3.67864656281025e-07,1,"Replicate7"
"34",-5.73129323444554e-07,-9.58523683800005e-07,-1.23334324253488e-07,1,"Replicate69"
"35",3.35396004746968e-07,-8.26269105164145e-08,7.13912504024527e-07,1,"Replicate68"
"36",1.15383353094245e-07,-5.29590127798518e-07,5.37355474572454e-07,1,"Replicate67"
"37",-7.85781787415729e-07,-1.06604459197968e-06,-4.92988372766123e-07,1,"Replicate66"
"38",6.44118655079851e-07,2.09170912746082e-07,1.08772512922295e-06,1,"Replicate65"
"39",-1.17215858952413e-06,-1.36817890944163e-06,-8.3901426933819e-07,1,"Replicate64"
"40",-6.58727028923778e-07,-8.66910010016708e-07,-4.41416989757637e-07,1,"Replicate63"
"41",-3.05531350330845e-07,-5.53122573676568e-07,3.94435456962935e-08,1,"Replicate62"
"42",-6.5216240896504e-07,-8.69152999982692e-07,-4.21653845841807e-07,1,"Replicate61"
"43",-9.98686741082722e-07,-1.20479117095007e-06,-7.23413282799346e-07,1,"Replicate60"
"44",-1.46579497428689e-08,-2.58806444597415e-07,3.06602518418408e-07,1,"Replicate6"
"45",-9.19250946807004e-07,-1.12040820755277e-06,-6.99461042225069e-07,1,"Replicate59"
"46",-1.45573872112337e-06,-2.08313543392791e-06,-7.54394203905662e-07,1,"Replicate58"
"47",2.20039044984688e-07,-7.07868155369606e-08,6.20556217528767e-07,1,"Replicate57"
"48",-1.20776214052043e-06,-1.48212168636641e-06,-8.67965711526253e-07,1,"Replicate56"
"49",-6.77175714391964e-07,-9.57811284013621e-07,-3.64719313572515e-07,1,"Replicate55"
"50",-1.09626464062096e-06,-1.26873077425094e-06,-8.6560764175625e-07,1,"Replicate54"
"51",-3.52833971040134e-07,-5.20750819241189e-07,-1.19039773480156e-07,1,"Replicate53"
"52",-2.50878089413931e-08,-2.05516753834512e-07,2.00270446060191e-07,1,"Replicate52"
"53",-2.68835080974306e-07,-6.93964340894859e-07,2.81353760411829e-07,1,"Replicate51"
"54",-6.28715134287638e-07,-1.02937409625636e-06,-1.35019126340508e-07,1,"Replicate50"
"55",-4.45173384711062e-07,-7.27433750297157e-07,-1.04475675297145e-07,1,"Replicate5"
"56",-1.95870544339449e-07,-4.8412229327055e-07,2.90837416505595e-07,1,"Replicate49"
"57",1.65819409314594e-08,-3.49147608114109e-07,4.27270082842268e-07,1,"Replicate48"
"58",-4.20400787182196e-07,-6.79232889078118e-07,-8.64233857839072e-08,1,"Replicate47"
"59",-1.64357981669028e-07,-4.7612727968882e-07,1.86517419353827e-07,1,"Replicate46"
"60",2.01251496134702e-07,-1.48162017274411e-07,5.91553556034129e-07,1,"Replicate45"
"61",-3.59128630278427e-07,-6.79699278174906e-07,1.18072995214379e-08,1,"Replicate44"
"62",-3.70060170507003e-07,-5.74401504760402e-07,-9.11685253623951e-08,1,"Replicate43"
"63",3.90425392016169e-08,-2.04226161285015e-07,3.01860434970269e-07,1,"Replicate42"
"64",-7.19263652970703e-07,-9.87994951062721e-07,-4.32447417006432e-07,1,"Replicate41"
"65",-4.06764417482108e-07,-7.01972224015357e-07,-1.08780797869468e-07,1,"Replicate40"
"66",-3.23261006407449e-07,-9.09812303911961e-07,4.32132278538333e-07,1,"Replicate4"
"67",-6.7667393388593e-07,-1.07996403899968e-06,-1.83767119321667e-07,1,"Replicate39"
"68",-3.12810664704344e-07,-6.37180026344386e-07,-9.65944543795951e-09,1,"Replicate38"
"69",-1.15469363726195e-06,-1.45054835485325e-06,-8.05382946766908e-07,1,"Replicate37"
"70",-2.9337067608548e-07,-5.74130489056079e-07,1.83566589928572e-08,1,"Replicate36"
"71",-5.56385808425652e-07,-8.78693275746523e-07,-9.66219266873573e-08,1,"Replicate35"
"72",-5.13343061281368e-07,-6.83806436305168e-07,-3.16578054943007e-07,1,"Replicate34"
"73",-1.64990005135923e-06,-1.81228577097459e-06,-1.35097007705753e-06,1,"Replicate33"
"74",-2.71865725709475e-07,-5.32197527636225e-07,-4.99132354392363e-08,1,"Replicate32"
"75",-3.48420467255472e-07,-5.93647956778631e-07,6.45934769560421e-10,1,"Replicate31"
"76",-5.39289192191816e-07,-7.89541170834185e-07,-2.03281349997475e-07,1,"Replicate30"
"77",2.29860312339625e-07,-1.59329833199218e-07,7.36978688203882e-07,1,"Replicate3"
"78",-3.41089511746162e-07,-4.89618934762515e-07,-1.1167605066531e-07,1,"Replicate29"
"79",-5.35293101067147e-07,-7.88519459635206e-07,-1.81383457165119e-07,1,"Replicate28"
"80",-3.70016865813838e-07,-5.65416363576543e-07,-8.42072003681694e-08,1,"Replicate27"
"81",-7.39645754865847e-07,-1.1039417485259e-06,-2.93903149148345e-07,1,"Replicate26"
"82",2.15927592250864e-07,-1.81718709349465e-07,7.03519015293752e-07,1,"Replicate25"
"83",-1.4441665568965e-06,-1.71443578955155e-06,-1.16652457724797e-06,1,"Replicate24"
"84",-8.51307404126089e-07,-1.0920923641855e-06,-6.01540414479907e-07,1,"Replicate23"
"85",-3.87510786459266e-07,-4.93752985741835e-07,-2.35192177885923e-07,1,"Replicate22"
"86",-3.54638849509037e-07,-6.93023555231598e-07,6.35007757376901e-08,1,"Replicate21"
"87",-4.55701833268485e-07,-6.73417646612773e-07,-1.9250429351414e-07,1,"Replicate20"
"88",-2.20586109078713e-06,-2.79601568197452e-06,-1.438898283318e-06,1,"Replicate2"
"89",-5.26494508545916e-07,-8.24340928703981e-07,-2.79263478597525e-07,1,"Replicate19"
"90",-4.92146589592402e-07,-7.8563978914703e-07,-1.31591027768829e-07,1,"Replicate18"
"91",-5.92999033655062e-07,-8.32573612058463e-07,-2.60478922989305e-07,1,"Replicate17"
"92",-5.37544925016675e-07,-9.19211588007451e-07,-1.26764873131791e-07,1,"Replicate16"
"93",1.61275887311518e-07,-2.79998690111416e-07,6.84459437955142e-07,1,"Replicate15"
"94",-5.15642827880747e-07,-6.86209392281034e-07,-2.88755031957466e-07,1,"Replicate14"
"95",-2.03446044122479e-07,-6.47179328919223e-07,2.57398558167754e-07,1,"Replicate13"
"96",-4.03461592912713e-07,-6.65213750805638e-07,4.41078993440586e-08,1,"Replicate12"
"97",-2.28437686988769e-07,-5.0056918839414e-07,1.98614741175884e-07,1,"Replicate11"
