"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_seg_homo_genotypes_cloning"
"1",0.01,0.2,0,1,56
"2",0.01,0.2,0,2,61
"3",0.01,0.2,0,3,63
"4",0.01,0.2,0,4,74
"5",0.01,0.2,0,5,59
"6",0.01,0.2,0,6,49
"7",0.01,0.2,0,7,39
"8",0.01,0.2,0,8,55
"9",0.01,0.2,0,9,50
"10",0.01,0.2,0,10,53
"11",0.01,0.2,0,11,61
"12",0.01,0.2,0,12,63
"13",0.01,0.2,0,13,57
"14",0.01,0.2,0,14,54
"15",0.01,0.2,0,15,73
"16",0.01,0.2,0,16,76
"17",0.01,0.2,0,17,66
"18",0.01,0.2,0,18,52
"19",0.01,0.2,0,19,70
"20",0.01,0.2,0,20,51
"21",0.01,0.2,0,21,69
"22",0.01,0.2,0,22,50
"23",0.01,0.2,0,23,51
"24",0.01,0.2,0,24,55
"25",0.01,0.2,0,25,56
"26",0.01,0.2,0,26,48
"27",0.01,0.2,0,27,53
"28",0.01,0.2,0,28,49
"29",0.01,0.2,0,29,54
"30",0.01,0.2,0,30,62
"31",0.01,0.2,0,31,52
"32",0.01,0.2,0,32,56
"33",0.01,0.2,0,33,45
"34",0.01,0.2,0,34,57
"35",0.01,0.2,0,35,60
"36",0.01,0.2,0,36,58
"37",0.01,0.2,0,37,86
"38",0.01,0.2,0,38,56
"39",0.01,0.2,0,39,54
"40",0.01,0.2,0,40,52
"41",0.01,0.2,0,41,70
"42",0.01,0.2,0,42,50
"43",0.01,0.2,0,43,52
"44",0.01,0.2,0,44,73
"45",0.01,0.2,0,45,46
"46",0.01,0.2,0,46,41
"47",0.01,0.2,0,47,70
"48",0.01,0.2,0,48,54
"49",0.01,0.2,0,49,65
"50",0.01,0.2,0,50,56
"51",0.01,0.2,0,51,51
"52",0.01,0.2,0,52,50
"53",0.01,0.2,0,53,68
"54",0.01,0.2,0,54,48
"55",0.01,0.2,0,55,42
"56",0.01,0.2,0,56,62
"57",0.01,0.2,0,57,63
"58",0.01,0.2,0,58,63
"59",0.01,0.2,0,59,58
"60",0.01,0.2,0,60,43
"61",0.01,0.2,0,61,41
"62",0.01,0.2,0,62,71
"63",0.01,0.2,0,63,50
"64",0.01,0.2,0,64,40
"65",0.01,0.2,0,65,68
"66",0.01,0.2,0,66,69
"67",0.01,0.2,0,67,64
"68",0.01,0.2,0,68,48
"69",0.01,0.2,0,69,72
