"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","Relative_homo_cloning"
"1",0.01,0.2,0,1,0.0233674108074275
"2",0.01,0.2,0,2,0.0246514447363104
"3",0.01,0.2,0,3,0.0265822784810127
"4",0.01,0.2,0,4,0.0304276315789474
"5",0.01,0.2,0,5,0.0232466509062254
"6",0.01,0.2,0,6,0.021143473570658
"7",0.01,0.2,0,7,0.0164904862579281
"8",0.01,0.2,0,8,0.023696682464455
"9",0.01,0.2,0,9,0.0206270627062706
"10",0.01,0.2,0,10,0.021540337329811
"11",0.01,0.2,0,11,0.0252483443708609
"12",0.01,0.2,0,12,0.0256253813300793
"13",0.01,0.2,0,13,0.0227499501097585
"14",0.01,0.2,0,14,0.0225234619395203
"15",0.01,0.2,0,15,0.0291126620139581
"16",0.01,0.2,0,16,0.0315745741587038
"17",0.01,0.2,0,17,0.0271102895871842
"18",0.01,0.2,0,18,0.0211683289232648
"19",0.01,0.2,0,19,0.0282201169119129
"20",0.01,0.2,0,20,0.0224719101123595
"21",0.01,0.2,0,21,0.0286425902864259
"22",0.01,0.2,0,22,0.0203004466098254
"23",0.01,0.2,0,23,0.0209876543209877
"24",0.01,0.2,0,24,0.0233297985153765
"25",0.01,0.2,0,25,0.0231166150670795
"26",0.01,0.2,0,26,0.0199791883454735
"27",0.01,0.2,0,27,0.0214444669229213
"28",0.01,0.2,0,28,0.0208688245315162
"29",0.01,0.2,0,29,0.0212640283520378
"30",0.01,0.2,0,30,0.0269214068606166
"31",0.01,0.2,0,31,0.0213552361396304
"32",0.01,0.2,0,32,0.0239572192513369
"33",0.01,0.2,0,33,0.0180541624874624
"34",0.01,0.2,0,34,0.0237896494156928
"35",0.01,0.2,0,35,0.0248550124275062
"36",0.01,0.2,0,36,0.0250919316461172
"37",0.01,0.2,0,37,0.0361192776144477
"38",0.01,0.2,0,38,0.0235739844243317
"39",0.01,0.2,0,39,0.0225187656380317
"40",0.01,0.2,0,40,0.0206431123461691
"41",0.01,0.2,0,41,0.0284379443428804
"42",0.01,0.2,0,42,0.0208507089241034
"43",0.01,0.2,0,43,0.0215142738932561
"44",0.01,0.2,0,44,0.0301590580458583
"45",0.01,0.2,0,45,0.0199782844733985
"46",0.01,0.2,0,46,0.017051362029528
"47",0.01,0.2,0,47,0.0291727443217337
"48",0.01,0.2,0,48,0.0220004074149521
"49",0.01,0.2,0,49,0.0263371150729335
"50",0.01,0.2,0,50,0.0229790726302831
"51",0.01,0.2,0,51,0.0211355159552424
"52",0.01,0.2,0,52,0.0200240288346015
"53",0.01,0.2,0,53,0.0279777823493108
"54",0.01,0.2,0,54,0.0194765672550213
"55",0.01,0.2,0,55,0.0185964135488156
"56",0.01,0.2,0,56,0.0254098360655738
"57",0.01,0.2,0,57,0.0265934993668214
"58",0.01,0.2,0,58,0.0255370895824889
"59",0.01,0.2,0,59,0.0249301525897271
"60",0.01,0.2,0,60,0.0176229508196721
"61",0.01,0.2,0,61,0.0170230433880008
"62",0.01,0.2,0,62,0.028698464025869
"63",0.01,0.2,0,63,0.0215796288303841
"64",0.01,0.2,0,64,0.0170357751277683
"65",0.01,0.2,0,65,0.0265210608424337
"66",0.01,0.2,0,66,0.0281517747858017
"67",0.01,0.2,0,67,0.0274148639965731
"68",0.01,0.2,0,68,0.0198019801980198
"69",0.01,0.2,0,69,0.0292861500915192
"70",0.01,0.2,0,70,0.0255370895824889
"71",0.01,0.2,0,71,0.0263320304464102
"72",0.01,0.2,0,72,0.0205623164078892
"73",0.01,0.2,0,73,0.0308740978348035
"74",0.01,0.2,0,74,0.0236586396282214
"75",0.01,0.2,0,75,0.0213193885760257
"76",0.01,0.2,0,76,0.0231023102310231
"77",0.01,0.2,0,77,0.0272333402104394
"78",0.01,0.2,0,78,0.0225306779320056
"79",0.01,0.2,0,79,0.0197612186084809
"80",0.01,0.2,0,80,0.0184940554821664
"81",0.01,0.2,0,81,0.0203998368013056
"82",0.01,0.2,0,82,0.0227810015044058
"83",0.01,0.2,0,83,0.0251650165016502
"84",0.01,0.2,0,84,0.0266781411359725
"85",0.01,0.2,0,85,0.0162323793250748
"86",0.01,0.2,0,86,0.0188639698176483
"87",0.01,0.2,0,87,0.0207856994387861
"88",0.01,0.2,0,88,0.0321027287319422
"89",0.01,0.2,0,89,0.0257079734886523
"90",0.01,0.2,0,90,0.0223214285714286
"91",0.01,0.2,0,91,0.0270217348737028
"92",0.01,0.2,0,92,0.0220308431804526
"93",0.01,0.2,0,93,0.0214748784440843
"94",0.01,0.2,0,94,0.0288040075140889
"95",0.01,0.2,0,95,0.0344755097750683
"96",0.01,0.2,0,96,0.0265505081933209
"97",0.01,0.2,0,97,0.022353714661407
"98",0.01,0.2,0,98,0.0214432989690722
"99",0.01,0.2,0,99,0.0399159663865546
"100",0.01,0.2,0,100,0.0224476581048996
"101",0.01,0.2,0.2,1,0.0226035998325659
"102",0.01,0.2,0.2,2,0.0342105263157895
"103",0.01,0.2,0.2,3,0.0201190720591254
"104",0.01,0.2,0.2,4,0.0258872651356994
"105",0.01,0.2,0.2,5,0.0319773325237806
"106",0.01,0.2,0.2,6,0.0325638911788953
"107",0.01,0.2,0.2,7,0.0218901283940223
"108",0.01,0.2,0.2,8,0.0270436385986478
"109",0.01,0.2,0.2,9,0.0268085106382979
"110",0.01,0.2,0.2,10,0.0226674762193888
"111",0.01,0.2,0.2,11,0.0257680872150644
"112",0.01,0.2,0.2,12,0.0273857172951338
"113",0.01,0.2,0.2,13,0.0304152856307272
"114",0.01,0.2,0.2,14,0.0215371621621622
"115",0.01,0.2,0.2,15,0.021540337329811
"116",0.01,0.2,0.2,16,0.0190436762575036
"117",0.01,0.2,0.2,17,0.0280851063829787
"118",0.01,0.2,0.2,18,0.0240521810028537
"119",0.01,0.2,0.2,19,0.021581149526536
"120",0.01,0.2,0.2,20,0.0221710939134072
"121",0.01,0.2,0.2,21,0.0265540132770066
"122",0.01,0.2,0.2,22,0.0246913580246914
"123",0.01,0.2,0.2,23,0.025830258302583
"124",0.01,0.2,0.2,24,0.0231404958677686
"125",0.01,0.2,0.2,25,0.0301341589267286
"126",0.01,0.2,0.2,26,0.0211942123497045
"127",0.01,0.2,0.2,27,0.0272912423625255
"128",0.01,0.2,0.2,28,0.0266182698124622
"129",0.01,0.2,0.2,29,0.0230067433558112
"130",0.01,0.2,0.2,30,0.0261991132607819
"131",0.01,0.2,0.2,31,0.0204559982953335
"132",0.01,0.2,0.2,32,0.02564632885212
"133",0.01,0.2,0.2,33,0.0234720992028344
"134",0.01,0.2,0.2,34,0.0218181818181818
"135",0.01,0.2,0.2,35,0.0236956973602162
"136",0.01,0.2,0.2,36,0.0186064924782264
"137",0.01,0.2,0.2,37,0.0211819529760644
"138",0.01,0.2,0.2,38,0.0260321334146838
"139",0.01,0.2,0.2,39,0.0228500207727462
"140",0.01,0.2,0.2,40,0.0276345638275933
