"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_seg_homo_genotypes_selfing"
"1",0.01,0.2,0,1,71
"2",0.01,0.2,0,2,57
"3",0.01,0.2,0,3,54
"4",0.01,0.2,0,4,52
"5",0.01,0.2,0,5,57
"6",0.01,0.2,0,6,55
"7",0.01,0.2,0,7,64
"8",0.01,0.2,0,8,48
"9",0.01,0.2,0,9,53
"10",0.01,0.2,0,10,56
"11",0.01,0.2,0,11,61
"12",0.01,0.2,0,12,55
"13",0.01,0.2,0,13,56
"14",0.01,0.2,0,14,55
"15",0.01,0.2,0,15,62
"16",0.01,0.2,0,16,57
"17",0.01,0.2,0,17,47
"18",0.01,0.2,0,18,51
"19",0.01,0.2,0,19,41
"20",0.01,0.2,0,20,61
"21",0.01,0.2,0,21,63
"22",0.01,0.2,0,22,57
"23",0.01,0.2,0,23,58
"24",0.01,0.2,0,24,59
"25",0.01,0.2,0,25,67
"26",0.01,0.2,0,26,41
"27",0.01,0.2,0,27,79
"28",0.01,0.2,0,28,57
"29",0.01,0.2,0,29,55
"30",0.01,0.2,0,30,48
"31",0.01,0.2,0,31,57
"32",0.01,0.2,0,32,83
"33",0.01,0.2,0,33,54
"34",0.01,0.2,0,34,41
"35",0.01,0.2,0,35,52
"36",0.01,0.2,0,36,52
"37",0.01,0.2,0,37,67
"38",0.01,0.2,0,38,53
"39",0.01,0.2,0,39,60
"40",0.01,0.2,0,40,55
"41",0.01,0.2,0,41,52
"42",0.01,0.2,0,42,54
"43",0.01,0.2,0,43,50
"44",0.01,0.2,0,44,70
"45",0.01,0.2,0,45,39
"46",0.01,0.2,0,46,47
"47",0.01,0.2,0,47,53
"48",0.01,0.2,0,48,64
"49",0.01,0.2,0,49,40
"50",0.01,0.2,0,50,64
"51",0.01,0.2,0,51,62
"52",0.01,0.2,0,52,51
"53",0.01,0.2,0,53,83
"54",0.01,0.2,0,54,63
"55",0.01,0.2,0,55,54
"56",0.01,0.2,0,56,66
"57",0.01,0.2,0,57,63
"58",0.01,0.2,0,58,60
"59",0.01,0.2,0,59,64
"60",0.01,0.2,0,60,51
"61",0.01,0.2,0,61,59
"62",0.01,0.2,0,62,58
"63",0.01,0.2,0,63,49
"64",0.01,0.2,0,64,45
"65",0.01,0.2,0,65,53
"66",0.01,0.2,0,66,54
"67",0.01,0.2,0,67,47
"68",0.01,0.2,0,68,54
"69",0.01,0.2,0,69,73
"70",0.01,0.2,0,70,45
"71",0.01,0.2,0,71,55
"72",0.01,0.2,0,72,67
"73",0.01,0.2,0,73,46
"74",0.01,0.2,0,74,58
"75",0.01,0.2,0,75,55
"76",0.01,0.2,0,76,51
"77",0.01,0.2,0,77,67
"78",0.01,0.2,0,78,90
"79",0.01,0.2,0,79,48
"80",0.01,0.2,0,80,54
"81",0.01,0.2,0,81,59
"82",0.01,0.2,0,82,93
"83",0.01,0.2,0,83,58
"84",0.01,0.2,0,84,81
"85",0.01,0.2,0,85,71
"86",0.01,0.2,0,86,61
"87",0.01,0.2,0,87,52
"88",0.01,0.2,0,88,67
"89",0.01,0.2,0,89,70
"90",0.01,0.2,0,90,60
"91",0.01,0.2,0,91,56
"92",0.01,0.2,0,92,54
"93",0.01,0.2,0,93,60
"94",0.01,0.2,0,94,51
"95",0.01,0.2,0,95,58
"96",0.01,0.2,0,96,61
"97",0.01,0.2,0,97,45
"98",0.01,0.2,0,98,78
"99",0.01,0.2,0,99,64
"100",0.01,0.2,0,100,63
"101",0.01,0.2,0.2,1,234
"102",0.01,0.2,0.2,2,254
"103",0.01,0.2,0.2,3,294
"104",0.01,0.2,0.2,4,148
"105",0.01,0.2,0.2,5,159
"106",0.01,0.2,0.2,6,157
"107",0.01,0.2,0.2,7,207
"108",0.01,0.2,0.2,8,192
"109",0.01,0.2,0.2,9,199
"110",0.01,0.2,0.2,10,241
"111",0.01,0.2,0.2,11,317
"112",0.01,0.2,0.2,12,235
"113",0.01,0.2,0.2,13,185
"114",0.01,0.2,0.2,14,193
"115",0.01,0.2,0.2,15,295
"116",0.01,0.2,0.2,16,300
"117",0.01,0.2,0.2,17,137
"118",0.01,0.2,0.2,18,170
"119",0.01,0.2,0.2,19,107
"120",0.01,0.2,0.2,20,132
"121",0.01,0.2,0.2,21,323
"122",0.01,0.2,0.2,22,247
"123",0.01,0.2,0.2,23,337
"124",0.01,0.2,0.2,24,210
"125",0.01,0.2,0.2,25,207
"126",0.01,0.2,0.2,26,178
"127",0.01,0.2,0.2,27,261
"128",0.01,0.2,0.2,28,191
"129",0.01,0.2,0.2,29,192
"130",0.01,0.2,0.2,30,165
"131",0.01,0.2,0.2,31,255
"132",0.01,0.2,0.2,32,265
"133",0.01,0.2,0.2,33,166
"134",0.01,0.2,0.2,34,145
"135",0.01,0.2,0.2,35,348
"136",0.01,0.2,0.2,36,189
"137",0.01,0.2,0.2,37,238
"138",0.01,0.2,0.2,38,111
"139",0.01,0.2,0.2,39,236
"140",0.01,0.2,0.2,40,272
"141",0.01,0.2,0.2,41,63
"142",0.01,0.2,0.2,42,179
"143",0.01,0.2,0.2,43,225
"144",0.01,0.2,0.2,44,229
"145",0.01,0.2,0.2,45,216
"146",0.01,0.2,0.2,46,222
"147",0.01,0.2,0.2,47,235
"148",0.01,0.2,0.2,48,231
"149",0.01,0.2,0.2,49,253
"150",0.01,0.2,0.2,50,239
"151",0.01,0.2,0.2,51,222
"152",0.01,0.2,0.2,52,276
"153",0.01,0.2,0.2,53,306
"154",0.01,0.2,0.2,54,286
"155",0.01,0.2,0.2,55,185
"156",0.01,0.2,0.2,56,296
"157",0.01,0.2,0.2,57,196
"158",0.01,0.2,0.2,58,167
"159",0.01,0.2,0.2,59,225
"160",0.01,0.2,0.2,60,360
"161",0.01,0.2,0.2,61,182
"162",0.01,0.2,0.2,62,133
"163",0.01,0.2,0.2,63,241
"164",0.01,0.2,0.2,64,216
"165",0.01,0.2,0.2,65,134
"166",0.01,0.2,0.2,66,315
"167",0.01,0.2,0.2,67,298
