"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","Relative_homo_selfing"
"1",0.01,0.2,0,1,0.0296884800334518
"2",0.01,0.2,0,2,0.0248257839721254
"3",0.01,0.2,0,3,0.0237571491421029
"4",0.01,0.2,0,4,0.0222888984140592
"5",0.01,0.2,0,5,0.0252996005326232
"6",0.01,0.2,0,6,0.023094688221709
"7",0.01,0.2,0,7,0.0266278344081548
"8",0.01,0.2,0,8,0.0201807862097961
"9",0.01,0.2,0,9,0.0227810015044058
"10",0.01,0.2,0,10,0.0234604105571848
"11",0.01,0.2,0,11,0.0255497382198953
"12",0.01,0.2,0,12,0.0224994886479853
"13",0.01,0.2,0,13,0.0242686890574215
"14",0.01,0.2,0,14,0.0230995380092398
"15",0.01,0.2,0,15,0.0255406797116375
"16",0.01,0.2,0,16,0.0234278668310728
"17",0.01,0.2,0,17,0.0200597524541187
"18",0.01,0.2,0,18,0.0216514540437274
"19",0.01,0.2,0,19,0.0173141891891892
"20",0.01,0.2,0,20,0.0253164556962025
"21",0.01,0.2,0,21,0.0254905927574348
"22",0.01,0.2,0,22,0.0228045609121824
"23",0.01,0.2,0,23,0.0243953732912723
"24",0.01,0.2,0,24,0.0247068676716918
"25",0.01,0.2,0,25,0.0270543105188774
"26",0.01,0.2,0,26,0.0175213675213675
"27",0.01,0.2,0,27,0.0312747426761679
"28",0.01,0.2,0,28,0.0232700551132884
"29",0.01,0.2,0,29,0.0236457437661221
"30",0.01,0.2,0,30,0.0203605514316013
"31",0.01,0.2,0,31,0.0233990147783251
"32",0.01,0.2,0,32,0.03485198404367
"33",0.01,0.2,0,33,0.0224066390041494
"34",0.01,0.2,0,34,0.0178649237472767
"35",0.01,0.2,0,35,0.0222364763737439
"36",0.01,0.2,0,36,0.021770985974461
"37",0.01,0.2,0,37,0.028021748222501
"38",0.01,0.2,0,38,0.0225675963380881
"39",0.01,0.2,0,39,0.0254291163382072
"40",0.01,0.2,0,40,0.0221016676712879
"41",0.01,0.2,0,41,0.0220806794055202
"42",0.01,0.2,0,42,0.0230966638152267
"43",0.01,0.2,0,43,0.0208724692131079
"44",0.01,0.2,0,44,0.029374737725556
"45",0.01,0.2,0,45,0.0165394402035623
"46",0.01,0.2,0,46,0.0202368137782562
"47",0.01,0.2,0,47,0.0226157456795392
"48",0.01,0.2,0,48,0.0267111853088481
"49",0.01,0.2,0,49,0.0156770527140897
"50",0.01,0.2,0,50,0.0261544748671843
"51",0.01,0.2,0,51,0.0256039644848235
"52",0.01,0.2,0,52,0.0211180124223602
"53",0.01,0.2,0,53,0.0338913842384647
"54",0.01,0.2,0,54,0.0259152612093789
"55",0.01,0.2,0,55,0.0227368421052632
"56",0.01,0.2,0,56,0.0256062075654704
"57",0.01,0.2,0,57,0.0269000853970965
"58",0.01,0.2,0,58,0.0253324889170361
"59",0.01,0.2,0,59,0.025391787343781
"60",0.01,0.2,0,60,0.0220588235294118
"61",0.01,0.2,0,61,0.0258488499452355
"62",0.01,0.2,0,62,0.0245814791269337
"63",0.01,0.2,0,63,0.0201480263157895
"64",0.01,0.2,0,64,0.0185223296974686
"65",0.01,0.2,0,65,0.0221618231235626
"66",0.01,0.2,0,66,0.0225234619395203
"67",0.01,0.2,0,67,0.0192662430825989
"68",0.01,0.2,0,68,0.0222680412371134
"69",0.01,0.2,0,69,0.0305759162303665
"70",0.01,0.2,0,70,0.0185720181593066
"71",0.01,0.2,0,71,0.022
"72",0.01,0.2,0,72,0.0281986531986532
"73",0.01,0.2,0,73,0.0192066805845511
"74",0.01,0.2,0,74,0.0244159124394864
"75",0.01,0.2,0,75,0.0235798499464094
"76",0.01,0.2,0,76,0.021004942339374
"77",0.01,0.2,0,77,0.0274590163934426
"78",0.01,0.2,0,78,0.0371517027863777
"79",0.01,0.2,0,79,0.0204559982953335
"80",0.01,0.2,0,80,0.0226178010471204
"81",0.01,0.2,0,81,0.0244458255645328
"82",0.01,0.2,0,82,0.0370887337986042
"83",0.01,0.2,0,83,0.024191866527633
"84",0.01,0.2,0,84,0.0327802509105625
"85",0.01,0.2,0,85,0.0292421746293245
"86",0.01,0.2,0,86,0.0245324753669817
"87",0.01,0.2,0,87,0.0213377102995486
"88",0.01,0.2,0,88,0.0262282247015071
"89",0.01,0.2,0,89,0.029927319367251
"90",0.01,0.2,0,90,0.024885939444214
"91",0.01,0.2,0,91,0.0225579053373615
"92",0.01,0.2,0,92,0.0227703984819734
