"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_additive_load","SD_additive_load"
"1",0.01,0.2,0,4812.31,133.88044530985
"2",0.01,0.2,0.2,3588.08,115.95267930662
"3",0.01,0.2,0.4,2642.17,100.941332596031
"4",0.01,0.2,0.6,1956.35,86.3561307211672
"5",0.01,0.2,0.8,1439.04,71.2861526213581
"6",0.01,0.2,0.95,1204.76,93.1194649226183
"7",0.01,0.2,0.99,1613.71,261.177608790136
"8",0.01,0.2,1,1589.92,399.797213243379
"9",0.01,0.5,0,2025.4,64.5043260627385
"10",0.01,0.5,0.2,1828.68,70.6443475331455
"11",0.01,0.5,0.4,1627.39,61.5417892019871
"12",0.01,0.5,0.6,1418.58,66.1448028910431
"13",0.01,0.5,0.8,1224.11,66.8938394590695
"14",0.01,0.5,0.95,1168.38,111.075075166449
"15",0.01,0.5,0.99,1547.67,261.270557356573
"16",0.01,0.5,1,1619.97,469.865711634396
