"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_N_fixed_mutations","SD_N_fixed_mutations"
"1",0.01,0.2,0,0,0
"2",0.01,0.2,0.2,0,0
"3",0.01,0.2,0.4,0,0
"4",0.01,0.2,0.6,0,0
"5",0.01,0.2,0.8,0,0
"6",0.01,0.2,0.95,0.06,0.238683256575942
"7",0.01,0.2,0.99,57.9,6.06779876216918
"8",0.01,0.2,1,175.7,9.43612229893212
"9",0.01,0.5,0,0,0
"10",0.01,0.5,0.2,0,0
"11",0.01,0.5,0.4,0,0
"12",0.01,0.5,0.6,0,0
"13",0.01,0.5,0.8,0,0
"14",0.01,0.5,0.95,0.25,0.479372485441102
"15",0.01,0.5,0.99,65.98,5.87578492499925
"16",0.01,0.5,1,174.09,8.92176433155902
