"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_recessive_load","SD_recessive_load"
"1",0.01,0.2,0,57.98,9.63052805961702
"2",0.01,0.2,0.2,230.39,66.5740106114157
"3",0.01,0.2,0.4,338.1,72.9291201486523
"4",0.01,0.2,0.6,415.87,65.3402369574565
"5",0.01,0.2,0.8,466.18,49.8302938162939
"6",0.01,0.2,0.95,534.27,48.3747690726094
"7",0.01,0.2,0.99,784.91,128.481110901898
"8",0.01,0.2,1,785.21,200.118111336402
"9",0.01,0.5,0,10.46,4.32147561778977
"10",0.01,0.5,0.2,109.8,40.6592144190184
"11",0.01,0.5,0.4,201.24,38.7908455304818
"12",0.01,0.5,0.6,301.18,46.356846007005
"13",0.01,0.5,0.8,399.23,43.2840874019798
"14",0.01,0.5,0.95,524.97,54.526882444267
"15",0.01,0.5,0.99,753.17,131.019086819864
"16",0.01,0.5,1,800.39,234.84505508737
