"","Uniparenting_rate","Replicate","N_segregating_mutations_cloning"
"1",0,1,73855
"2",0,2,75447
"3",0,3,76466
"4",0,4,75958
"5",0,5,75318
"6",0,6,72414
"7",0,7,74337
"8",0,8,78064
"9",0,9,77886
"10",0,10,72209
"11",0,11,76793
"12",0,12,76035
"13",0,13,72797
"14",0,14,73771
"15",0,15,72860
"16",0,16,76877
"17",0,17,76861
"18",0,18,79559
"19",0,19,78490
"20",0,20,77422
"21",0.2,1,72793
"22",0.2,2,75834
"23",0.2,3,72934
"24",0.2,4,78581
"25",0.2,5,76078
"26",0.2,6,76323
"27",0.2,7,75730
"28",0.2,8,73212
"29",0.2,9,73029
"30",0.2,10,74166
"31",0.2,11,70917
"32",0.2,12,75830
"33",0.2,13,74060
"34",0.2,14,73737
"35",0.2,15,71988
"36",0.2,16,77635
"37",0.2,17,73493
"38",0.2,18,76517
"39",0.2,19,71325
"40",0.2,20,74431
"41",0.4,1,72238
"42",0.4,2,75954
"43",0.4,3,69932
"44",0.4,4,71050
"45",0.4,5,70044
"46",0.4,6,72273
"47",0.4,7,71312
"48",0.4,8,70494
"49",0.4,9,72064
"50",0.4,10,71163
"51",0.4,11,72392
"52",0.4,12,73276
"53",0.4,13,71927
"54",0.4,14,72449
"55",0.4,15,72844
"56",0.4,16,72574
"57",0.4,17,71910
"58",0.4,18,73525
"59",0.4,19,69681
"60",0.4,20,73214
"61",0.6,1,66182
"62",0.6,2,69395
"63",0.6,3,66541
"64",0.6,4,63397
"65",0.6,5,67444
"66",0.6,6,66292
"67",0.6,7,66607
"68",0.6,8,72191
"69",0.6,9,66418
"70",0.6,10,69720
"71",0.6,11,67111
"72",0.6,12,68460
"73",0.6,13,72682
"74",0.6,14,68307
"75",0.6,15,70904
"76",0.6,16,69697
"77",0.6,17,67390
"78",0.6,18,67392
"79",0.6,19,69383
"80",0.6,20,68980
"81",0.8,1,57777
"82",0.8,2,53655
"83",0.8,3,61796
"84",0.8,4,57014
"85",0.8,5,56647
"86",0.8,6,59961
"87",0.8,7,57068
"88",0.8,8,58502
"89",0.8,9,60998
"90",0.8,10,59560
"91",0.8,11,59494
"92",0.8,12,58484
"93",0.8,13,60391
"94",0.8,14,56635
"95",0.8,15,56068
"96",0.8,16,60404
"97",0.8,17,61710
"98",0.8,18,60886
"99",0.8,19,60034
"100",0.8,20,54026
"101",0.95,1,447767
"102",0.95,2,437442
"103",0.95,3,429396
"104",0.95,4,418008
"105",0.95,5,452856
"106",0.95,6,435973
"107",0.95,7,451544
"108",0.95,8,468345
"109",0.95,9,451517
"110",0.95,10,437936
"111",0.95,11,443700
"112",0.95,12,441495
"113",0.95,13,424231
"114",0.95,14,441652
"115",0.95,15,432297
"116",0.95,16,413420
"117",0.95,17,417924
"118",0.95,18,435711
"119",0.95,19,450936
"120",0.95,20,442095
"121",0.99,1,475739
"122",0.99,2,481219
"123",0.99,3,483663
"124",0.99,4,471624
"125",0.99,5,469751
"126",0.99,6,478200
"127",0.99,7,485900
"128",0.99,8,472777
"129",0.99,9,482464
"130",0.99,10,480372
"131",0.99,11,478018
"132",0.99,12,482234
"133",0.99,13,477199
"134",0.99,14,482709
"135",0.99,15,478229
"136",0.99,16,481397
"137",0.99,17,485509
"138",0.99,18,475190
"139",0.99,19,482112
"140",0.99,20,483796
"141",1,1,483033
"142",1,2,489805
"143",1,3,488007
"144",1,4,486609
"145",1,5,482413
"146",1,6,489411
"147",1,7,486646
"148",1,8,485457
"149",1,9,479156
"150",1,10,483591
"151",1,11,489222
"152",1,12,483550
"153",1,13,486721
"154",1,14,476191
"155",1,15,490223
"156",1,16,482915
"157",1,17,476770
"158",1,18,495163
"159",1,19,490080
"160",1,20,488519
