"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_additive_load","SD_additive_load"
"1",0.01,0.2,1e-10,71826.83,20527.0922525463
"2",0.01,0.2,1e-09,13990.75,5849.85095273306
"3",0.01,0.2,1e-08,1958.4,443.472591479946
"4",0.01,0.2,1e-07,116803.47,1448.68053832486
"5",0.01,0.2,1e-06,115877.26,1546.00649194346
"6",0.01,0.2,1e-05,70037.72,1639.47967897677
"7",0.01,0.2,1e-04,2398.91,522.559514661858
"8",0.01,0.5,1e-10,0,0
"9",0.01,0.5,1e-09,0,0
"10",0.01,0.5,1e-08,0,0
"11",0.01,0.5,1e-07,0,0
"12",0.01,0.5,1e-06,0,0
"13",0.01,0.5,1e-05,0,0
"14",0.01,0.5,1e-04,85357.02,4598.16730944586
