"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_N_fixed_mutations","SD_N_fixed_mutations"
"1",0.01,0.2,1e-10,131.84,201.256242515643
"2",0.01,0.2,1e-09,568.08,65.1983268050785
"3",0.01,0.2,1e-08,379.56,14.0038378577972
"4",0.01,0.2,1e-07,0,0
"5",0.01,0.2,1e-06,1.1,1.11464085804543
"6",0.01,0.2,1e-05,161.13,9.03266239261658
"7",0.01,0.2,1e-04,431.34,14.1572838803454
"8",0.01,0.5,1e-10,0,0
"9",0.01,0.5,1e-09,0,0
"10",0.01,0.5,1e-08,0,0
"11",0.01,0.5,1e-07,0,0
"12",0.01,0.5,1e-06,0,0
"13",0.01,0.5,1e-05,0,0
"14",0.01,0.5,1e-04,6.02,42.0379770582686
