"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_recessive_load","SD_recessive_load"
"1",0.01,0.2,1e-10,36.45,238.453746864962
"2",0.01,0.2,1e-09,405.08,881.243814277309
"3",0.01,0.2,1e-08,693.66,216.135676617884
"4",0.01,0.2,1e-07,0.09,0.350900716914789
"5",0.01,0.2,1e-06,11.47,15.7065610687401
"6",0.01,0.2,1e-05,657.31,200.96231593073
"7",0.01,0.2,1e-04,816.63,251.432447903181
"8",0.01,0.5,1e-10,0,0
"9",0.01,0.5,1e-09,0,0
"10",0.01,0.5,1e-08,0,0
"11",0.01,0.5,1e-07,0,0
"12",0.01,0.5,1e-06,0,0
"13",0.01,0.5,1e-05,0,0
"14",0.01,0.5,1e-04,0.04,0.242878362539562
