"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","N_segregating_mutations_GC"
"1",0.01,0.2,1e-05,4000,1,2099
"2",0.01,0.2,1e-05,4000,2,2650
"3",0.01,0.2,1e-05,4000,3,1844
"4",0.01,0.2,1e-05,4000,4,1606
"5",0.01,0.2,1e-05,4000,5,2295
"6",0.01,0.2,1e-05,4000,6,1955
"7",0.01,0.2,1e-05,4000,7,1713
"8",0.01,0.2,1e-05,4000,8,1421
"9",0.01,0.2,1e-05,4000,9,2194
"10",0.01,0.2,1e-05,4000,10,1325
"11",0.01,0.2,1e-05,4000,11,2026
"12",0.01,0.2,1e-05,4000,12,2052
"13",0.01,0.2,1e-05,4000,13,1582
"14",0.01,0.2,1e-05,4000,14,2849
"15",0.01,0.2,1e-05,4000,15,1304
"16",0.01,0.2,1e-05,4000,16,1784
"17",0.01,0.2,1e-05,4000,17,1842
"18",0.01,0.2,1e-05,4000,18,2224
"19",0.01,0.2,1e-05,4000,19,1199
"20",0.01,0.2,1e-05,4000,20,1988
"21",0.01,0.2,1e-05,4000,21,2359
"22",0.01,0.2,1e-05,4000,22,1268
"23",0.01,0.2,1e-05,4000,23,1556
"24",0.01,0.2,1e-05,4000,24,2440
"25",0.01,0.2,1e-05,4000,25,2273
"26",0.01,0.2,1e-05,4000,26,2068
"27",0.01,0.2,1e-05,4000,27,1731
"28",0.01,0.2,1e-05,4000,28,1276
"29",0.01,0.2,1e-05,4000,29,1466
"30",0.01,0.2,1e-05,4000,30,2000
"31",0.01,0.2,1e-05,4000,31,1585
"32",0.01,0.2,1e-05,4000,32,1930
"33",0.01,0.2,1e-05,4000,33,2097
"34",0.01,0.2,1e-05,4000,34,1685
"35",0.01,0.2,1e-05,4000,35,1207
"36",0.01,0.2,1e-05,4000,36,1889
"37",0.01,0.2,1e-05,4000,37,2860
"38",0.01,0.2,1e-05,4000,38,2432
"39",0.01,0.2,1e-05,4000,39,2076
"40",0.01,0.2,1e-05,4000,40,1062
"41",0.01,0.2,1e-05,4000,41,1608
"42",0.01,0.2,1e-05,4000,42,1340
"43",0.01,0.2,1e-05,4000,43,1755
"44",0.01,0.2,1e-05,4000,44,1650
"45",0.01,0.2,1e-05,4000,45,1630
"46",0.01,0.2,1e-05,4000,46,1763
"47",0.01,0.2,1e-05,4000,47,2063
"48",0.01,0.2,1e-05,4000,48,1821
"49",0.01,0.2,1e-05,4000,49,1270
"50",0.01,0.2,1e-05,4000,50,1629
"51",0.01,0.2,1e-05,4000,51,1222
"52",0.01,0.2,1e-05,4000,52,1587
"53",0.01,0.2,1e-05,4000,53,2641
"54",0.01,0.2,1e-05,4000,54,1483
"55",0.01,0.2,1e-05,4000,55,2058
"56",0.01,0.2,1e-05,4000,56,1827
"57",0.01,0.2,1e-05,4000,57,1339
"58",0.01,0.2,1e-05,4000,58,2338
"59",0.01,0.2,1e-05,4000,59,2890
"60",0.01,0.2,1e-05,4000,60,2345
"61",0.01,0.2,1e-05,4000,61,1196
"62",0.01,0.2,1e-05,4000,62,2305
"63",0.01,0.2,1e-05,4000,63,1567
"64",0.01,0.2,1e-05,4000,64,2121
"65",0.01,0.2,1e-05,4000,65,2205
"66",0.01,0.2,1e-05,4000,66,1663
"67",0.01,0.2,1e-05,4000,67,1103
"68",0.01,0.2,1e-05,4000,68,1653
"69",0.01,0.2,1e-05,4000,69,1651
"70",0.01,0.2,1e-05,4000,70,1804
"71",0.01,0.2,1e-05,4000,71,2544
"72",0.01,0.2,1e-05,4000,72,2852
"73",0.01,0.2,1e-05,4000,73,1826
"74",0.01,0.2,1e-05,4000,74,1705
"75",0.01,0.2,1e-05,4000,75,2567
"76",0.01,0.2,1e-05,4000,76,1224
"77",0.01,0.2,1e-05,4000,77,2455
"78",0.01,0.2,1e-05,4000,78,1704
"79",0.01,0.2,1e-05,4000,79,1947
"80",0.01,0.2,1e-05,4000,80,2727
"81",0.01,0.2,1e-05,4000,81,1886
"82",0.01,0.2,1e-05,4000,82,1804
"83",0.01,0.2,1e-05,4000,83,1604
"84",0.01,0.2,1e-05,4000,84,1486
"85",0.01,0.2,1e-05,4000,85,2074
"86",0.01,0.2,1e-05,4000,86,2127
"87",0.01,0.2,1e-05,4000,87,2142
"88",0.01,0.2,1e-05,4000,88,1123
"89",0.01,0.2,1e-05,4000,89,998
"90",0.01,0.2,1e-05,4000,90,2552
"91",0.01,0.2,1e-05,4000,91,1795
"92",0.01,0.2,1e-05,4000,92,1221
"93",0.01,0.2,1e-05,4000,93,1664
"94",0.01,0.2,1e-05,4000,94,2860
"95",0.01,0.2,1e-05,4000,95,1584
"96",0.01,0.2,1e-05,4000,96,1787
"97",0.01,0.2,1e-05,4000,97,1870
"98",0.01,0.2,1e-05,4000,98,1617
"99",0.01,0.2,1e-05,4000,99,1324
"100",0.01,0.2,1e-05,4000,100,1255
"101",0.01,0.2,1e-06,4000,1,4237
"102",0.01,0.2,1e-06,4000,2,3981
"103",0.01,0.2,1e-06,4000,3,3879
"104",0.01,0.2,1e-06,4000,4,3710
"105",0.01,0.2,1e-06,4000,5,3404
"106",0.01,0.2,1e-06,4000,6,4302
"107",0.01,0.2,1e-06,4000,7,4808
"108",0.01,0.2,1e-06,4000,8,4084
"109",0.01,0.2,1e-06,4000,9,3125
"110",0.01,0.2,1e-06,4000,10,3332
"111",0.01,0.2,1e-06,4000,11,2908
"112",0.01,0.2,1e-06,4000,12,2998
"113",0.01,0.2,1e-06,4000,13,3890
"114",0.01,0.2,1e-06,4000,14,4167
"115",0.01,0.2,1e-06,4000,15,3462
"116",0.01,0.2,1e-06,4000,16,3401
"117",0.01,0.2,1e-06,4000,17,3299
"118",0.01,0.2,1e-06,4000,18,4840
"119",0.01,0.2,1e-06,4000,19,3677
"120",0.01,0.2,1e-06,4000,20,2619
"121",0.01,0.2,1e-06,4000,21,3528
"122",0.01,0.2,1e-06,4000,22,3472
"123",0.01,0.2,1e-06,4000,23,3556
"124",0.01,0.2,1e-06,4000,24,3907
"125",0.01,0.2,1e-06,4000,25,3423
"126",0.01,0.2,1e-06,4000,26,3442
"127",0.01,0.2,1e-06,4000,27,4461
"128",0.01,0.2,1e-06,4000,28,2846
"129",0.01,0.2,1e-06,4000,29,4159
"130",0.01,0.2,1e-06,4000,30,3800
"131",0.01,0.2,1e-06,4000,31,3220
"132",0.01,0.2,1e-06,4000,32,4399
"133",0.01,0.2,1e-06,4000,33,3486
"134",0.01,0.2,1e-06,4000,34,3268
"135",0.01,0.2,1e-06,4000,35,3905
"136",0.01,0.2,1e-06,4000,36,3911
"137",0.01,0.2,1e-06,4000,37,3816
"138",0.01,0.2,1e-06,4000,38,3565
"139",0.01,0.2,1e-06,4000,39,3582
"140",0.01,0.2,1e-06,4000,40,4163
"141",0.01,0.2,1e-06,4000,41,3241
"142",0.01,0.2,1e-06,4000,42,4493
"143",0.01,0.2,1e-06,4000,43,4811
"144",0.01,0.2,1e-06,4000,44,4071
"145",0.01,0.2,1e-06,4000,45,4182
"146",0.01,0.2,1e-06,4000,46,3160
"147",0.01,0.2,1e-06,4000,47,3239
"148",0.01,0.2,1e-06,4000,48,2649
"149",0.01,0.2,1e-06,4000,49,4232
"150",0.01,0.2,1e-06,4000,50,3713
"151",0.01,0.2,1e-06,4000,51,4931
"152",0.01,0.2,1e-06,4000,52,4403
"153",0.01,0.2,1e-06,4000,53,3730
"154",0.01,0.2,1e-06,4000,54,3821
"155",0.01,0.2,1e-06,4000,55,3505
"156",0.01,0.2,1e-06,4000,56,3094
"157",0.01,0.2,1e-06,4000,57,4542
"158",0.01,0.2,1e-06,4000,58,3923
"159",0.01,0.2,1e-06,4000,59,3035
"160",0.01,0.2,1e-06,4000,60,3367
"161",0.01,0.2,1e-06,4000,61,4819
"162",0.01,0.2,1e-06,4000,62,4770
"163",0.01,0.2,1e-06,4000,63,6027
"164",0.01,0.2,1e-06,4000,64,3588
"165",0.01,0.2,1e-06,4000,65,4919
"166",0.01,0.2,1e-06,4000,66,3668
"167",0.01,0.2,1e-06,4000,67,3674
"168",0.01,0.2,1e-06,4000,68,4976
"169",0.01,0.2,1e-06,4000,69,6735
"170",0.01,0.2,1e-06,4000,70,4013
"171",0.01,0.2,1e-06,4000,71,3640
"172",0.01,0.2,1e-06,4000,72,3594
"173",0.01,0.2,1e-06,4000,73,4163
"174",0.01,0.2,1e-06,4000,74,2890
"175",0.01,0.2,1e-06,4000,75,3522
