"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","N_seg_homo_genotypes_GC"
"1",0.01,0.2,1e-05,4000,1,936
"2",0.01,0.2,1e-05,4000,2,1181
"3",0.01,0.2,1e-05,4000,3,809
"4",0.01,0.2,1e-05,4000,4,692
"5",0.01,0.2,1e-05,4000,5,1028
"6",0.01,0.2,1e-05,4000,6,862
"7",0.01,0.2,1e-05,4000,7,739
"8",0.01,0.2,1e-05,4000,8,578
"9",0.01,0.2,1e-05,4000,9,964
"10",0.01,0.2,1e-05,4000,10,521
"11",0.01,0.2,1e-05,4000,11,890
"12",0.01,0.2,1e-05,4000,12,888
"13",0.01,0.2,1e-05,4000,13,666
"14",0.01,0.2,1e-05,4000,14,1303
"15",0.01,0.2,1e-05,4000,15,514
"16",0.01,0.2,1e-05,4000,16,785
"17",0.01,0.2,1e-05,4000,17,807
"18",0.01,0.2,1e-05,4000,18,980
"19",0.01,0.2,1e-05,4000,19,494
"20",0.01,0.2,1e-05,4000,20,880
"21",0.01,0.2,1e-05,4000,21,1062
"22",0.01,0.2,1e-05,4000,22,519
"23",0.01,0.2,1e-05,4000,23,647
"24",0.01,0.2,1e-05,4000,24,1098
"25",0.01,0.2,1e-05,4000,25,1026
"26",0.01,0.2,1e-05,4000,26,919
"27",0.01,0.2,1e-05,4000,27,746
"28",0.01,0.2,1e-05,4000,28,527
"29",0.01,0.2,1e-05,4000,29,613
"30",0.01,0.2,1e-05,4000,30,887
"31",0.01,0.2,1e-05,4000,31,664
"32",0.01,0.2,1e-05,4000,32,824
"33",0.01,0.2,1e-05,4000,33,924
"34",0.01,0.2,1e-05,4000,34,708
"35",0.01,0.2,1e-05,4000,35,496
"36",0.01,0.2,1e-05,4000,36,825
"37",0.01,0.2,1e-05,4000,37,1300
"38",0.01,0.2,1e-05,4000,38,1083
"39",0.01,0.2,1e-05,4000,39,913
"40",0.01,0.2,1e-05,4000,40,415
"41",0.01,0.2,1e-05,4000,41,690
"42",0.01,0.2,1e-05,4000,42,559
"43",0.01,0.2,1e-05,4000,43,751
"44",0.01,0.2,1e-05,4000,44,702
"45",0.01,0.2,1e-05,4000,45,700
"46",0.01,0.2,1e-05,4000,46,764
"47",0.01,0.2,1e-05,4000,47,918
"48",0.01,0.2,1e-05,4000,48,793
"49",0.01,0.2,1e-05,4000,49,522
"50",0.01,0.2,1e-05,4000,50,691
"51",0.01,0.2,1e-05,4000,51,489
"52",0.01,0.2,1e-05,4000,52,683
"53",0.01,0.2,1e-05,4000,53,1191
"54",0.01,0.2,1e-05,4000,54,619
"55",0.01,0.2,1e-05,4000,55,895
"56",0.01,0.2,1e-05,4000,56,795
"57",0.01,0.2,1e-05,4000,57,548
"58",0.01,0.2,1e-05,4000,58,1048
"59",0.01,0.2,1e-05,4000,59,1322
"60",0.01,0.2,1e-05,4000,60,1045
"61",0.01,0.2,1e-05,4000,61,479
"62",0.01,0.2,1e-05,4000,62,1043
"63",0.01,0.2,1e-05,4000,63,660
"64",0.01,0.2,1e-05,4000,64,944
"65",0.01,0.2,1e-05,4000,65,976
"66",0.01,0.2,1e-05,4000,66,698
"67",0.01,0.2,1e-05,4000,67,423
"68",0.01,0.2,1e-05,4000,68,706
"69",0.01,0.2,1e-05,4000,69,701
"70",0.01,0.2,1e-05,4000,70,797
"71",0.01,0.2,1e-05,4000,71,1155
"72",0.01,0.2,1e-05,4000,72,1305
"73",0.01,0.2,1e-05,4000,73,799
"74",0.01,0.2,1e-05,4000,74,718
"75",0.01,0.2,1e-05,4000,75,1156
"76",0.01,0.2,1e-05,4000,76,494
"77",0.01,0.2,1e-05,4000,77,1109
"78",0.01,0.2,1e-05,4000,78,743
"79",0.01,0.2,1e-05,4000,79,844
"80",0.01,0.2,1e-05,4000,80,1249
"81",0.01,0.2,1e-05,4000,81,810
"82",0.01,0.2,1e-05,4000,82,791
"83",0.01,0.2,1e-05,4000,83,697
"84",0.01,0.2,1e-05,4000,84,629
"85",0.01,0.2,1e-05,4000,85,925
"86",0.01,0.2,1e-05,4000,86,936
"87",0.01,0.2,1e-05,4000,87,923
"88",0.01,0.2,1e-05,4000,88,442
"89",0.01,0.2,1e-05,4000,89,377
"90",0.01,0.2,1e-05,4000,90,1157
"91",0.01,0.2,1e-05,4000,91,777
"92",0.01,0.2,1e-05,4000,92,489
"93",0.01,0.2,1e-05,4000,93,684
"94",0.01,0.2,1e-05,4000,94,1292
"95",0.01,0.2,1e-05,4000,95,670
"96",0.01,0.2,1e-05,4000,96,773
"97",0.01,0.2,1e-05,4000,97,798
"98",0.01,0.2,1e-05,4000,98,680
"99",0.01,0.2,1e-05,4000,99,537
"100",0.01,0.2,1e-05,4000,100,495
"101",0.01,0.2,1e-06,4000,1,990
"102",0.01,0.2,1e-06,4000,2,794
"103",0.01,0.2,1e-06,4000,3,936
"104",0.01,0.2,1e-06,4000,4,767
"105",0.01,0.2,1e-06,4000,5,705
"106",0.01,0.2,1e-06,4000,6,1031
"107",0.01,0.2,1e-06,4000,7,1264
"108",0.01,0.2,1e-06,4000,8,877
"109",0.01,0.2,1e-06,4000,9,536
"110",0.01,0.2,1e-06,4000,10,657
"111",0.01,0.2,1e-06,4000,11,454
"112",0.01,0.2,1e-06,4000,12,572
"113",0.01,0.2,1e-06,4000,13,709
"114",0.01,0.2,1e-06,4000,14,938
"115",0.01,0.2,1e-06,4000,15,683
"116",0.01,0.2,1e-06,4000,16,611
"117",0.01,0.2,1e-06,4000,17,514
"118",0.01,0.2,1e-06,4000,18,1345
"119",0.01,0.2,1e-06,4000,19,802
"120",0.01,0.2,1e-06,4000,20,356
"121",0.01,0.2,1e-06,4000,21,600
"122",0.01,0.2,1e-06,4000,22,600
"123",0.01,0.2,1e-06,4000,23,638
"124",0.01,0.2,1e-06,4000,24,894
"125",0.01,0.2,1e-06,4000,25,673
"126",0.01,0.2,1e-06,4000,26,554
"127",0.01,0.2,1e-06,4000,27,1167
"128",0.01,0.2,1e-06,4000,28,407
"129",0.01,0.2,1e-06,4000,29,1008
"130",0.01,0.2,1e-06,4000,30,721
"131",0.01,0.2,1e-06,4000,31,568
"132",0.01,0.2,1e-06,4000,32,1053
"133",0.01,0.2,1e-06,4000,33,676
"134",0.01,0.2,1e-06,4000,34,596
"135",0.01,0.2,1e-06,4000,35,988
"136",0.01,0.2,1e-06,4000,36,758
"137",0.01,0.2,1e-06,4000,37,856
"138",0.01,0.2,1e-06,4000,38,748
"139",0.01,0.2,1e-06,4000,39,692
"140",0.01,0.2,1e-06,4000,40,1046
"141",0.01,0.2,1e-06,4000,41,534
"142",0.01,0.2,1e-06,4000,42,1035
"143",0.01,0.2,1e-06,4000,43,1203
"144",0.01,0.2,1e-06,4000,44,937
"145",0.01,0.2,1e-06,4000,45,981
"146",0.01,0.2,1e-06,4000,46,521
"147",0.01,0.2,1e-06,4000,47,549
"148",0.01,0.2,1e-06,4000,48,412
"149",0.01,0.2,1e-06,4000,49,991
"150",0.01,0.2,1e-06,4000,50,698
"151",0.01,0.2,1e-06,4000,51,1314
"152",0.01,0.2,1e-06,4000,52,1096
"153",0.01,0.2,1e-06,4000,53,702
"154",0.01,0.2,1e-06,4000,54,875
"155",0.01,0.2,1e-06,4000,55,707
"156",0.01,0.2,1e-06,4000,56,522
"157",0.01,0.2,1e-06,4000,57,1082
"158",0.01,0.2,1e-06,4000,58,898
"159",0.01,0.2,1e-06,4000,59,501
"160",0.01,0.2,1e-06,4000,60,720
"161",0.01,0.2,1e-06,4000,61,1267
"162",0.01,0.2,1e-06,4000,62,1196
"163",0.01,0.2,1e-06,4000,63,1894
"164",0.01,0.2,1e-06,4000,64,698
"165",0.01,0.2,1e-06,4000,65,1289
"166",0.01,0.2,1e-06,4000,66,777
"167",0.01,0.2,1e-06,4000,67,655
"168",0.01,0.2,1e-06,4000,68,1448
"169",0.01,0.2,1e-06,4000,69,2198
"170",0.01,0.2,1e-06,4000,70,896
"171",0.01,0.2,1e-06,4000,71,835
"172",0.01,0.2,1e-06,4000,72,811
"173",0.01,0.2,1e-06,4000,73,985
"174",0.01,0.2,1e-06,4000,74,392
"175",0.01,0.2,1e-06,4000,75,723
"176",0.01,0.2,1e-06,4000,76,894
"177",0.01,0.2,1e-06,4000,77,1144
"178",0.01,0.2,1e-06,4000,78,779
"179",0.01,0.2,1e-06,4000,79,869
"180",0.01,0.2,1e-06,4000,80,716
"181",0.01,0.2,1e-06,4000,81,1010
"182",0.01,0.2,1e-06,4000,82,555
"183",0.01,0.2,1e-06,4000,83,777
"184",0.01,0.2,1e-06,4000,84,1147
"185",0.01,0.2,1e-06,4000,85,571
"186",0.01,0.2,1e-06,4000,86,727
"187",0.01,0.2,1e-06,4000,87,1381
"188",0.01,0.2,1e-06,4000,88,2025
"189",0.01,0.2,1e-06,4000,89,435
"190",0.01,0.2,1e-06,4000,90,726
"191",0.01,0.2,1e-06,4000,91,1127
"192",0.01,0.2,1e-06,4000,92,869
"193",0.01,0.2,1e-06,4000,93,892
"194",0.01,0.2,1e-06,4000,94,532
"195",0.01,0.2,1e-06,4000,95,1415
"196",0.01,0.2,1e-06,4000,96,583
"197",0.01,0.2,1e-06,4000,97,1096
"198",0.01,0.2,1e-06,4000,98,975
"199",0.01,0.2,1e-06,4000,99,1347
"200",0.01,0.2,1e-06,4000,100,622
"201",0.01,0.2,1e-07,4000,1,970
"202",0.01,0.2,1e-07,4000,2,869
"203",0.01,0.2,1e-07,4000,3,750
"204",0.01,0.2,1e-07,4000,4,1074
"205",0.01,0.2,1e-07,4000,5,1096
"206",0.01,0.2,1e-07,4000,6,964
"207",0.01,0.2,1e-07,4000,7,1252
"208",0.01,0.2,1e-07,4000,8,1266
"209",0.01,0.2,1e-07,4000,9,888
"210",0.01,0.2,1e-07,4000,10,835
"211",0.01,0.2,1e-07,4000,11,974
"212",0.01,0.2,1e-07,4000,12,947
"213",0.01,0.2,1e-07,4000,13,890
"214",0.01,0.2,1e-07,4000,14,873
"215",0.01,0.2,1e-07,4000,15,1627
"216",0.01,0.2,1e-07,4000,16,816
"217",0.01,0.2,1e-07,4000,17,769
"218",0.01,0.2,1e-07,4000,18,579
"219",0.01,0.2,1e-07,4000,19,942
"220",0.01,0.2,1e-07,4000,20,646
"221",0.01,0.2,1e-07,4000,21,1075
"222",0.01,0.2,1e-07,4000,22,463
"223",0.01,0.2,1e-07,4000,23,1069
"224",0.01,0.2,1e-07,4000,24,739
"225",0.01,0.2,1e-07,4000,25,1233
"226",0.01,0.2,1e-07,4000,26,1757
"227",0.01,0.2,1e-07,4000,27,893
"228",0.01,0.2,1e-07,4000,28,921
"229",0.01,0.2,1e-07,4000,29,564
"230",0.01,0.2,1e-07,4000,30,814
"231",0.01,0.2,1e-07,4000,31,518
"232",0.01,0.2,1e-07,4000,32,678
"233",0.01,0.2,1e-07,4000,33,972
"234",0.01,0.2,1e-07,4000,34,475
"235",0.01,0.2,1e-07,4000,35,728
"236",0.01,0.2,1e-07,4000,36,1315
"237",0.01,0.2,1e-07,4000,37,889
"238",0.01,0.2,1e-07,4000,38,874
"239",0.01,0.2,1e-07,4000,39,691
"240",0.01,0.2,1e-07,4000,40,958
"241",0.01,0.2,1e-07,4000,41,600
"242",0.01,0.2,1e-07,4000,42,1342
"243",0.01,0.2,1e-07,4000,43,678
"244",0.01,0.2,1e-07,4000,44,1208
"245",0.01,0.2,1e-07,4000,45,619
"246",0.01,0.2,1e-07,4000,46,658
"247",0.01,0.2,1e-07,4000,47,1532
"248",0.01,0.2,1e-07,4000,48,986
"249",0.01,0.2,1e-07,4000,49,2062
"250",0.01,0.2,1e-07,4000,50,1500
"251",0.01,0.2,1e-07,4000,51,1286
"252",0.01,0.2,1e-07,4000,52,1000
"253",0.01,0.2,1e-07,4000,53,753
"254",0.01,0.2,1e-07,4000,54,1336
"255",0.01,0.2,1e-07,4000,55,847
"256",0.01,0.2,1e-07,4000,56,671
"257",0.01,0.2,1e-07,4000,57,730
"258",0.01,0.2,1e-07,4000,58,1675
"259",0.01,0.2,1e-07,4000,59,973
"260",0.01,0.2,1e-07,4000,60,821
"261",0.01,0.2,1e-07,4000,61,764
"262",0.01,0.2,1e-07,4000,62,922
"263",0.01,0.2,1e-07,4000,63,539
"264",0.01,0.2,1e-07,4000,64,1544
"265",0.01,0.2,1e-07,4000,65,732
"266",0.01,0.2,1e-07,4000,66,478
"267",0.01,0.2,1e-07,4000,67,1442
