"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","Relative_homo_GC"
"1",0.01,0.2,1e-05,4000,1,0.89185326345879
"2",0.01,0.2,1e-05,4000,2,0.891320754716981
"3",0.01,0.2,1e-05,4000,3,0.877440347071583
"4",0.01,0.2,1e-05,4000,4,0.861768368617684
"5",0.01,0.2,1e-05,4000,5,0.895860566448802
"6",0.01,0.2,1e-05,4000,6,0.881841432225064
"7",0.01,0.2,1e-05,4000,7,0.862813776999416
"8",0.01,0.2,1e-05,4000,8,0.813511611541168
"9",0.01,0.2,1e-05,4000,9,0.878760255241568
"10",0.01,0.2,1e-05,4000,10,0.786415094339623
"11",0.01,0.2,1e-05,4000,11,0.87857847976308
"12",0.01,0.2,1e-05,4000,12,0.865497076023392
"13",0.01,0.2,1e-05,4000,13,0.84197218710493
"14",0.01,0.2,1e-05,4000,14,0.914706914706915
"15",0.01,0.2,1e-05,4000,15,0.788343558282209
"16",0.01,0.2,1e-05,4000,16,0.880044843049327
"17",0.01,0.2,1e-05,4000,17,0.876221498371335
"18",0.01,0.2,1e-05,4000,18,0.881294964028777
"19",0.01,0.2,1e-05,4000,19,0.824020016680567
"20",0.01,0.2,1e-05,4000,20,0.885311871227364
"21",0.01,0.2,1e-05,4000,21,0.9003815175922
"22",0.01,0.2,1e-05,4000,22,0.818611987381703
"23",0.01,0.2,1e-05,4000,23,0.831619537275064
"24",0.01,0.2,1e-05,4000,24,0.9
"25",0.01,0.2,1e-05,4000,25,0.902771667399912
"26",0.01,0.2,1e-05,4000,26,0.888781431334623
"27",0.01,0.2,1e-05,4000,27,0.861929520508377
"28",0.01,0.2,1e-05,4000,28,0.82601880877743
"29",0.01,0.2,1e-05,4000,29,0.836289222373806
"30",0.01,0.2,1e-05,4000,30,0.887
"31",0.01,0.2,1e-05,4000,31,0.837854889589905
"32",0.01,0.2,1e-05,4000,32,0.853886010362694
"33",0.01,0.2,1e-05,4000,33,0.881258941344778
"34",0.01,0.2,1e-05,4000,34,0.840356083086053
"35",0.01,0.2,1e-05,4000,35,0.821872410936205
"36",0.01,0.2,1e-05,4000,36,0.873478030704076
"37",0.01,0.2,1e-05,4000,37,0.909090909090909
"38",0.01,0.2,1e-05,4000,38,0.890625
