"","g2","CI_lower","CI_upper","Rate","Rep"
"1",-8.19796019735364e-07,-1.00767895484799e-06,-4.42844868647763e-07,1e-11,"99"
"2",-8.61040446276107e-07,-1.16864519860149e-06,-4.40160298612047e-07,1e-11,"98"
"3",-7.77006731400576e-07,-9.84779013327164e-07,-4.58512497322761e-07,1e-11,"97"
"4",-8.1194795209516e-07,-1.05233195041021e-06,-6.09522157024589e-07,1e-11,"96"
"5",-1.41641927409175e-07,-4.17811962233339e-07,2.33791148246398e-07,1e-11,"95"
"6",-1.11210429709629e-06,-1.38331371283829e-06,-7.60183594505914e-07,1e-11,"94"
"7",1.9217431956875e-07,-7.38754435708476e-08,5.75953698683795e-07,1e-11,"93"
"8",-1.73647466628069e-07,-4.21212775017499e-07,1.01090560078454e-07,1e-11,"92"
"9",-4.68162455580234e-07,-8.71967173596277e-07,-4.06545720144096e-09,1e-11,"91"
"10",-5.15688709401552e-07,-7.46839503959484e-07,-2.35222844027772e-07,1e-11,"90"
"11",-4.37322541291252e-07,-7.67744691643202e-07,-1.54916263239713e-07,1e-11,"9"
"12",-2.80228359517132e-07,-8.83093727369055e-07,1.83691395694296e-07,1e-11,"89"
"13",-2.20009913176611e-07,-5.22996073404336e-07,1.00930972046775e-07,1e-11,"88"
"14",-8.90934556574408e-07,-1.29002645125331e-06,-3.68805323885946e-07,1e-11,"87"
"15",-2.0187717919562e-07,-5.37586758372899e-07,1.75566183024944e-07,1e-11,"86"
"16",-1.84997143160004e-07,-4.39920862621568e-07,1.64313191275411e-07,1e-11,"85"
"17",-8.57176055246711e-07,-1.0556030606651e-06,-5.8409466162368e-07,1e-11,"84"
"18",-6.09053909417234e-07,-9.25861981262988e-07,-3.50285668532235e-07,1e-11,"83"
"19",2.25443447465778e-07,-2.64302828251184e-07,8.32639033382376e-07,1e-11,"82"
"20",-7.058355275813e-07,-9.39372769620528e-07,-5.11484291473852e-07,1e-11,"81"
"21",-6.15850570317988e-07,-7.48755246798849e-07,-5.17889914536385e-07,1e-11,"80"
"22",-1.18642868107699e-06,-1.35220734841512e-06,-8.75822224083445e-07,1e-11,"8"
"23",-8.38217928955665e-07,-1.15089554946213e-06,-4.66852938951767e-07,1e-11,"79"
