"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_N_fixed_mutations","SD_N_fixed_mutations"
"1",0.01,0.2,1e-10,0.01,0.1
"2",0.01,0.2,1e-09,0.07,0.256432399976243
"3",0.01,0.2,1e-08,1.06,0.993107560268588
"4",0.01,0.2,1e-07,11.52,3.11230857185862
"5",0.01,0.2,1e-06,157.69,8.8245468021098
"6",0.01,0.2,1e-05,425.57,15.1379214777547
"7",0.01,0.5,1e-10,0.05,0.21904291355759
"8",0.01,0.5,1e-09,0.38,0.546430104025994
"9",0.01,0.5,1e-08,3.4,1.74656950921086
"10",0.01,0.5,1e-07,39.07,48.4933099624176
"11",0.01,0.5,1e-06,237.73,65.7990290370779
"12",0.01,0.5,1e-05,376.92,13.9961610898319
