"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_recessive_load","SD_recessive_load"
"1",0.01,0.2,1e-10,0.04,0.242878362539562
"2",0.01,0.2,1e-09,0.63,1.04112410112311
"3",0.01,0.2,1e-08,9.94,11.5494719805844
"4",0.01,0.2,1e-07,106.04,40.4647046601396
"5",0.01,0.2,1e-06,650.18,188.594502742382
"6",0.01,0.2,1e-05,869.95,233.502984861851
"7",0.01,0.5,1e-10,0.03,0.171446607997765
"8",0.01,0.5,1e-09,2.51,8.96400771660948
"9",0.01,0.5,1e-08,14.16,16.978132102707
"10",0.01,0.5,1e-07,111.64,65.3947639457101
"11",0.01,0.5,1e-06,464.6,203.962266266597
"12",0.01,0.5,1e-05,576.69,214.540886122394
