"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_N_fixed_mutations","SD_N_fixed_mutations"
"1",0.01,0.2,1e-10,0,0
"2",0.01,0.2,1e-09,0.09,0.378593889720018
"3",0.01,0.2,1e-08,1.03,0.999545351192686
"4",0.01,0.2,1e-07,11.36,3.4510136118965
"5",0.01,0.2,1e-06,161.76,9.76503761364797
"6",0.01,0.2,1e-05,426.35,14.3536677465301
"7",0.01,0.2,1e-04,363.55,13.150546326555
"8",0.01,0.5,1e-10,431.86,188.680747948657
"9",0.01,0.5,1e-09,642.38,73.0932405779209
"10",0.01,0.5,1e-08,697.21,29.2330569075767
"11",0.01,0.5,1e-07,632.49,21.4662031758734
"12",0.01,0.5,1e-06,493.97,12.9407780822382
"13",0.01,0.5,1e-05,378.42,10.3895635280328
"14",0.01,0.5,1e-04,360.78,12.5935529441685
