"","Selection_coefficient","Dominance_coefficient","GC_rate","Expected_recessive_load","SD_recessive_load"
"1",0.01,0.2,1e-10,0.1,0.414387707005374
"2",0.01,0.2,1e-09,0.85,1.61041433905512
"3",0.01,0.2,1e-08,14.22,19.5430527065479
"4",0.01,0.2,1e-07,131.43,153.000578001153
"5",0.01,0.2,1e-06,843.99,337.700467810745
"6",0.01,0.2,1e-05,838,258.852674451525
"7",0.01,0.2,1e-04,796.68,227.349989614642
"8",0.01,0.5,1e-10,87.38,562.585908681034
"9",0.01,0.5,1e-09,513.36,1531.58052331372
"10",0.01,0.5,1e-08,499.3,758.259776652361
"11",0.01,0.5,1e-07,530.58,423.182201130359
"12",0.01,0.5,1e-06,597.45,266.324188222405
"13",0.01,0.5,1e-05,726.55,234.816901590851
"14",0.01,0.5,1e-04,828.95,269.962712539373
