"","GC_rate","Replicate","N_seg_homo_genotypes_cloning"
"1",1e-05,1,1971
"2",1e-05,2,3643
"3",1e-05,3,1667
"4",1e-05,4,2509
"5",1e-05,5,1951
"6",1e-05,6,1804
"7",1e-05,7,2472
"8",1e-05,8,2154
"9",1e-05,9,2444
"10",1e-05,10,5733
"11",1e-06,1,3694
"12",1e-06,2,4472
"13",1e-06,3,3673
"14",1e-06,4,2074
"15",1e-06,5,2466
"16",1e-06,6,2137
"17",1e-06,7,2002
"18",1e-06,8,2661
"19",1e-06,9,1802
"20",1e-06,10,2157
"21",1e-07,1,4027
"22",1e-07,2,2959
"23",1e-07,3,4558
"24",1e-07,4,1904
"25",1e-07,5,2871
"26",1e-07,6,2126
"27",1e-07,7,2684
"28",1e-07,8,1976
"29",1e-07,9,1624
"30",1e-07,10,2197
"31",1e-08,1,1893
"32",1e-08,2,1873
"33",1e-08,3,2473
"34",1e-08,4,2288
"35",1e-08,5,2681
"36",1e-08,6,1805
"37",1e-08,7,1647
"38",1e-08,8,2266
"39",1e-08,9,2922
"40",1e-08,10,2795
"41",1e-09,1,237
"42",1e-09,2,445
"43",1e-09,3,267
"44",1e-09,4,736
"45",1e-09,5,436
"46",1e-09,6,350
"47",1e-09,7,978
"48",1e-09,8,822
"49",1e-09,9,742
"50",1e-09,10,308
"51",1e-10,1,10
"52",1e-10,2,74
"53",1e-10,3,137
"54",1e-10,4,10
"55",1e-10,5,35
"56",1e-10,6,12
"57",1e-10,7,74
"58",1e-10,8,23
"59",1e-10,9,53
"60",1e-10,10,90
"61",1e-11,1,4
"62",1e-11,2,0
"63",1e-11,3,0
"64",1e-11,4,0
"65",1e-11,5,0
"66",1e-11,6,1
"67",1e-11,7,12
"68",1e-11,8,0
"69",1e-11,9,2
"70",1e-11,10,0
