"","g2","CI_lower","CI_upper","Rate","Rep"
"1",3.14144344537581e-07,-1.51427978675733e-07,9.35573314014836e-07,1e-11,"9"
"2",-2.89745228809757e-07,-5.22844679115564e-07,2.8893870263058e-08,1e-11,"8"
"3",-2.9583434424385e-07,-5.90329029964698e-07,9.40810648608622e-08,1e-11,"7"
"4",-1.60903147472524e-07,-5.13804759016967e-07,2.20513644899611e-07,1e-11,"6"
"5",-1.45874623713738e-07,-3.15575379924993e-07,6.46587514918638e-08,1e-11,"5"
"6",4.28020447085231e-07,5.1503351755633e-08,8.7210986380315e-07,1e-11,"4"
"7",5.01889527049215e-07,1.43583987255447e-08,1.07658124946508e-06,1e-11,"3"
"8",-2.20068585021771e-07,-6.09566096229641e-07,2.04932398628621e-07,1e-11,"2"
"9",1.29319385955284e-06,6.16412016146706e-07,2.04953856745571e-06,1e-11,"10"
"10",-1.04536139877709e-06,-1.20337403891058e-06,-8.43190822003015e-07,1e-11,"1"
"11",-3.66262076556545e-07,-7.37778988380011e-07,8.2080304913967e-08,1e-10,"9"
"12",8.23424183504784e-07,-3.72319702679479e-08,1.66711673744157e-06,1e-10,"8"
"13",5.31821584770498e-07,-9.97011561421068e-08,1.1241375131199e-06,1e-10,"7"
"14",-1.06336717897726e-06,-1.2793700621766e-06,-8.24870539559153e-07,1e-10,"6"
"15",-4.71318358785666e-08,-6.6994853737401e-07,4.88847930379954e-07,1e-10,"5"
"16",3.24987013966549e-07,-2.06084718434862e-07,9.0952483712825e-07,1e-10,"4"
"17",-6.33198509181199e-07,-9.05033977174896e-07,-2.5265816973874e-07,1e-10,"3"
"18",-1.5955490328956e-07,-8.07529880686442e-07,6.35492777922851e-07,1e-10,"2"
"19",1.09275598281222e-06,-2.70214399331059e-07,2.06882782052276e-06,1e-10,"10"
"20",-2.64215512246757e-07,-4.66775095403493e-07,-6.29935913265545e-08,1e-10,"1"
"21",3.74765527499932e-08,-4.08008068639165e-07,5.7116792140377e-07,1e-09,"9"
"22",7.80210305251217e-08,-4.26214768886601e-07,5.66497492826555e-07,1e-09,"8"
"23",-1.11918401879407e-06,-1.73048956430555e-06,-3.43275913994301e-07,1e-09,"7"
"24",-2.29558934528029e-07,-7.46195274259342e-07,3.57912878690136e-07,1e-09,"6"
"25",6.61669004697885e-07,3.4374115021052e-08,1.5101552567065e-06,1e-09,"5"
"26",-2.99821631744024e-07,-5.59833400673448e-07,2.95424042062729e-08,1e-09,"4"
"27",-3.85544278613814e-07,-6.36665160341776e-07,5.83165714718169e-08,1e-09,"3"
"28",-1.00677267966809e-07,-5.23252718953593e-07,4.71971961973904e-07,1e-09,"2"
"29",-5.80097654689915e-07,-9.53146673968175e-07,-1.80345191971854e-07,1e-09,"10"
"30",4.56997922837488e-07,-4.16771299166506e-08,1.02336471324294e-06,1e-09,"1"
"31",-2.36487703852983e-06,-5.37146282084122e-06,1.81698553206044e-06,1e-08,"9"
"32",1.14590815412097e-05,2.22511089934541e-06,2.24699017530638e-05,1e-08,"8"
"33",-2.41508185117034e-07,-2.98772166385519e-06,2.64289058124478e-06,1e-08,"7"
"34",1.12210404745738e-07,-3.18220557450344e-06,3.66572004040777e-06,1e-08,"6"
"35",3.22000156094404e-07,-1.45764052922881e-06,2.83200584521581e-06,1e-08,"5"
"36",3.64539430641742e-06,2.90348435855182e-07,8.21604679665522e-06,1e-08,"4"
"37",-5.8732884444801e-07,-2.94719220033102e-06,3.10775720305245e-06,1e-08,"3"
"38",2.18410189734008e-06,-4.11652119983174e-07,4.71068287385412e-06,1e-08,"2"
"39",6.67297124823385e-06,2.45699438902736e-06,9.21601125705163e-06,1e-08,"10"
"40",6.96438629876894e-07,-1.54921999338531e-06,3.67335068078289e-06,1e-08,"1"
"41",0.000103202262130786,-7.65791809549776e-05,0.000314612541658238,1e-07,"9"
"42",-0.000118506288425579,-0.000181323876996389,-4.36146009997641e-05,1e-07,"8"
"43",5.7495166689181e-05,-8.32169850168901e-05,0.000227668737452041,1e-07,"7"
"44",-7.69455868510072e-05,-0.000262801678022206,0.000153821395783654,1e-07,"6"
"45",-0.00019618940751065,-0.000294415922634345,-0.000119332529540972,1e-07,"5"
"46",0.000109884513314062,-0.000116282303328988,0.000313670883392075,1e-07,"4"
"47",0.000116352362191208,-5.71270214117235e-06,0.000260921134851677,1e-07,"3"
"48",1.21892195161788e-05,-0.00040343437033131,0.000510726317103194,1e-07,"2"
"49",7.44854088969849e-05,-0.000124471336943238,0.000358385790315879,1e-07,"10"
"50",-8.82253318988946e-05,-0.00015252071187441,-1.14543971336979e-05,1e-07,"1"
"51",-0.00116135514068394,-0.00628196929436715,0.00515204847336209,1e-06,"9"
"52",0.00796708032930971,-0.000350164119020192,0.0170055936672164,1e-06,"8"
"53",-0.00623522640812202,-0.0101172750320739,0.00050816510313787,1e-06,"7"
"54",-0.00525358963662759,-0.0103668511448429,0.00107167516698927,1e-06,"6"
"55",0.00898910173286338,0.00057371184411148,0.0177007335751751,1e-06,"5"
"56",-0.000673702904429585,-0.0060513244158492,0.00502319812463401,1e-06,"4"
"57",0.00290556657501839,-0.0058836995446159,0.0116608750669255,1e-06,"3"
"58",0.00517746903495353,-0.00264721753003921,0.01404221639417,1e-06,"2"
"59",0.000842932921725437,-0.00611994679871265,0.0077857804082827,1e-06,"10"
"60",-0.0032103703593207,-0.00861149189825789,0.00201052318847368,1e-06,"1"
"61",0.0592672073721083,-0.0158464289619647,0.131772993290579,1e-05,"9"
"62",-0.0088715400993612,-0.0678744977896087,0.0730412369607614,1e-05,"8"
