"","CHR","POS1","POS2","N_CHR","R.2","D","Dprime","DIST","LEVEL","Rep","DIST_MB"
"1",1,2447483,3350264,100,0.018595,-0.0144,-1,902781,"[5e+05,1e+06)","1",0.902781
"2",1,19500983,20134433,100,0.00631284,-0.0054,-1,633450,"[5e+05,1e+06)","1",0.63345
"3",1,18846805,19565789,100,1,0.0564,1,718984,"[5e+05,1e+06)","1",0.718984
"4",1,19478538,20134433,100,0.00407424,-0.0036,-1,655895,"[5e+05,1e+06)","1",0.655895
"5",1,18846805,19383482,100,0.00407424,-0.0036,-1,536677,"[5e+05,1e+06)","1",0.536677
"6",1,9726047,11203412,100,0.00555042,-0.0048,-1,1477365,"[1e+06,1.5e+06)","1",1.477365
"7",1,16471027,17692610,100,0.00555042,-0.0048,-1,1221583,"[1e+06,1.5e+06)","1",1.221583
"8",1,23298496,24584753,100,0.0139907,-0.0105,-1,1286257,"[1e+06,1.5e+06)","1",1.286257
"9",1,1184486,2557733,100,0.0070922,-0.006,-1,1373247,"[1e+06,1.5e+06)","1",1.373247
"10",1,15027704,16471027,100,0.00966184,-0.008,-1,1443323,"[1e+06,1.5e+06)","1",1.443323
"11",1,10178451,11943124,100,0.00555042,-0.0048,-1,1764673,"[1.5e+06,2e+06)","1",1.764673
"12",1,17692610,19383482,100,0.00407424,-0.0036,-1,1690872,"[1.5e+06,2e+06)","1",1.690872
"13",1,17538464,19500983,100,0.00631284,-0.0054,-1,1962519,"[1.5e+06,2e+06)","1",1.962519
"14",1,22473629,24158607,100,1,0.0475,1,1684978,"[1.5e+06,2e+06)","1",1.684978
"15",1,17692610,19478538,100,0.00407424,-0.0036,-1,1785928,"[1.5e+06,2e+06)","1",1.785928
"16",1,20134433,22473629,100,0.511012,0.037,0.787234,2339196,"[2e+06,2.5e+06)","1",2.339196
"17",1,17538464,19565789,100,0.00407424,-0.0036,-1,2027325,"[2e+06,2.5e+06)","1",2.027325
"18",1,7358200,9726047,100,0.0118577,-0.0096,-1,2367847,"[2e+06,2.5e+06)","1",2.367847
"19",1,17806544,20202077,100,0.00953778,-0.0078,-1,2395533,"[2e+06,2.5e+06)","1",2.395533
"20",1,17692610,20134433,100,0.00407424,-0.0036,-1,2441823,"[2e+06,2.5e+06)","1",2.441823
"21",1,18846805,23298496,100,0.0169674,-0.0126,-1,4451691,"[4e+06,4.5e+06)","1",4.451691
"22",1,5649951,9726047,100,0.00756144,-0.0064,-1,4076096,"[4e+06,4.5e+06)","1",4.076096
"23",1,7358200,11588773,100,0.0134865,-0.0108,-1,4230573,"[4e+06,4.5e+06)","1",4.230573
"24",1,3350264,7358200,100,0.00281221,0.0056,0.0530303,4007936,"[4e+06,4.5e+06)","1",4.007936
"25",1,19383482,23417486,100,0.00407424,-0.0036,-1,4034004,"[4e+06,4.5e+06)","1",4.034004
"26",1,11943124,17692610,100,0.0556583,0.0152,0.275362,5749486,"[5.5e+06,6e+06)","1",5.749486
"27",1,1184486,7011015,100,0.107876,0.017,0.361702,5826529,"[5.5e+06,6e+06)","1",5.826529
"28",1,9257724,15027704,100,0.00966184,-0.008,-1,5769980,"[5.5e+06,6e+06)","1",5.76998
"29",1,17692610,23298496,100,0.0169674,-0.0126,-1,5605886,"[5.5e+06,6e+06)","1",5.605886
"30",1,18846805,24584753,100,0.511012,0.037,0.787234,5737948,"[5.5e+06,6e+06)","1",5.737948
"31",1,1184486,7509623,100,0.0070922,-0.006,-1,6325137,"[6e+06,6.5e+06)","1",6.325137
"32",1,11588773,17806544,100,0.0074372,0.0083,0.106003,6217771,"[6e+06,6.5e+06)","1",6.217771
"33",1,11588773,17881431,100,0.00520532,-0.0045,-1,6292658,"[6e+06,6.5e+06)","1",6.292658
"34",1,3350264,9667124,100,0.0102639,-0.0084,-1,6316860,"[6e+06,6.5e+06)","1",6.31686
"35",1,17881431,24158607,100,0.00277008,-0.0025,-1,6277176,"[6e+06,6.5e+06)","1",6.277176
"36",1,11943124,20134433,100,0.00555042,-0.0048,-1,8191309,"[8e+06,8.5e+06)","1",8.191309
"37",1,11203412,19478538,100,0.00407424,-0.0036,-1,8275126,"[8e+06,8.5e+06)","1",8.275126
"38",1,1184486,9257724,100,0.0556583,0.0152,0.275362,8073238,"[8e+06,8.5e+06)","1",8.073238
"39",1,9667124,17881431,100,0.00396152,-0.0035,-1,8214307,"[8e+06,8.5e+06)","1",8.214307
"40",1,2858507,11203412,100,0.00407424,-0.0036,-1,8344905,"[8e+06,8.5e+06)","1",8.344905
"41",1,10909812,19478538,100,0.00631284,-0.0054,-1,8568726,"[8.5e+06,9e+06)","1",8.568726
"42",1,10909812,19500983,100,0.00978143,-0.0081,-1,8591171,"[8.5e+06,9e+06)","1",8.591171
"43",1,11588773,20134433,100,0.430632,0.0446,0.81685,8545660,"[8.5e+06,9e+06)","1",8.54566
"44",1,10909812,19565789,100,0.00631284,-0.0054,-1,8655977,"[8.5e+06,9e+06)","1",8.655977
"45",1,10178451,18846805,100,0.00407424,-0.0036,-1,8668354,"[8.5e+06,9e+06)","1",8.668354
"46",1,9726047,18846805,100,0.00651403,0.0052,0.0942029,9120758,"[9e+06,9.5e+06)","1",9.120758
"47",1,10264509,19565789,100,0.0070922,-0.006,-1,9301280,"[9e+06,9.5e+06)","1",9.30128
"48",1,10264509,19478538,100,0.227738,0.034,0.62963,9214029,"[9e+06,9.5e+06)","1",9.214029
"49",1,9667124,18846805,100,0.00480439,-0.0042,-1,9179681,"[9e+06,9.5e+06)","1",9.179681
"50",1,10178451,19565789,100,0.00407424,-0.0036,-1,9387338,"[9e+06,9.5e+06)","1",9.387338
"51",1,9667124,19478538,100,0.00480439,-0.0042,-1,9811414,"[9.5e+06,1e+07)","1",9.811414
"52",1,15027704,24584753,100,0.00584795,-0.005,-1,9557049,"[9.5e+06,1e+07)","1",9.557049
"53",1,10264509,20202077,100,0.0070922,-0.006,-1,9937568,"[9.5e+06,1e+07)","1",9.937568
"54",1,9726047,19478538,100,0.00555042,-0.0048,-1,9752491,"[9.5e+06,1e+07)","1",9.752491
"55",1,10178451,19914541,100,0.00407424,-0.0036,-1,9736090,"[9.5e+06,1e+07)","1",9.73609
"56",1,9257724,19383482,100,0.00555042,-0.0048,-1,10125758,"[1e+07,1.05e+07)","1",10.125758
"57",1,7509623,17806544,100,0.00481383,0.007,0.0804598,10296921,"[1e+07,1.05e+07)","1",10.296921
"58",1,7509623,17538464,100,0.0070922,-0.006,-1,10028841,"[1e+07,1.05e+07)","1",10.028841
"59",1,1184486,11588773,100,0.00631284,-0.0054,-1,10404287,"[1e+07,1.05e+07)","1",10.404287
"60",1,7358200,17806544,100,0.0203762,-0.0156,-1,10448344,"[1e+07,1.05e+07)","1",10.448344
"61",1,7011015,17538464,100,0.00335946,-0.003,-1,10527449,"[1.05e+07,1.1e+07)","1",10.527449
"62",1,9257724,19914541,100,0.0556583,0.0152,0.275362,10656817,"[1.05e+07,1.1e+07)","1",10.656817
"63",1,11588773,22473629,100,0.167149,0.0255,0.56044,10884856,"[1.05e+07,1.1e+07)","1",10.884856
"64",1,5649951,16471027,100,0.00756144,-0.0064,-1,10821076,"[1.05e+07,1.1e+07)","1",10.821076
"65",1,7011015,17806544,100,0.102797,0.0235,0.54023,10795529,"[1.05e+07,1.1e+07)","1",10.795529
"66",1,5649951,9257724,100,0.00756144,-0.0064,-1,3607773,"[3.5e+06,4e+06)","1",3.607773
"67",1,3350264,7011015,100,0.00717703,-0.006,-1,3660751,"[3.5e+06,4e+06)","1",3.660751
"68",1,7358200,10909812,100,0.0134865,-0.0108,-1,3551612,"[3.5e+06,4e+06)","1",3.551612
"69",1,19478538,23417486,100,0.00407424,-0.0036,-1,3938948,"[3.5e+06,4e+06)","1",3.938948
"70",1,1940841,5649951,100,0.00966184,-0.008,-1,3709110,"[3.5e+06,4e+06)","1",3.70911
"71",1,17806544,23298496,100,0.00284012,-0.0073,-0.267399,5491952,"[5e+06,5.5e+06)","1",5.491952
"72",1,15027704,20134433,100,0.0070922,-0.006,-1,5106729,"[5e+06,5.5e+06)","1",5.106729
"73",1,15027704,20202077,100,0.0070922,-0.006,-1,5174373,"[5e+06,5.5e+06)","1",5.174373
"74",1,19565789,24584753,100,0.511012,0.037,0.787234,5018964,"[5e+06,5.5e+06)","1",5.018964
"75",1,1940841,7334152,100,0.0070922,-0.006,-1,5393311,"[5e+06,5.5e+06)","1",5.393311
"76",1,2557733,9667124,100,0.0083632,-0.007,-1,7109391,"[7e+06,7.5e+06)","1",7.109391
"77",1,10264509,17538464,100,0.0070922,-0.006,-1,7273955,"[7e+06,7.5e+06)","1",7.273955
"78",1,2447483,9667124,100,0.0102639,-0.0084,-1,7219641,"[7e+06,7.5e+06)","1",7.219641
"79",1,2557733,9726047,100,0.000603865,0.002,0.0277778,7168314,"[7e+06,7.5e+06)","1",7.168314
"80",1,9257724,16471027,100,0.00756144,-0.0064,-1,7213303,"[7e+06,7.5e+06)","1",7.213303
"81",1,10264509,17806544,100,0.0166028,-0.013,-1,7542035,"[7.5e+06,8e+06)","1",7.542035
"82",1,1940841,9726047,100,0.00966184,-0.008,-1,7785206,"[7.5e+06,8e+06)","1",7.785206
"83",1,11588773,19500983,100,0.00978143,-0.0081,-1,7912210,"[7.5e+06,8e+06)","1",7.91221
