"","CHR","POS1","POS2","N_CHR","R.2","D","Dprime","DIST","LEVEL","Rep","DIST_MB"
"1",1,1980634,2710410,100,0.663978,-0.1976,-1,729776,"[5e+05,1e+06)","1",0.729776
"2",1,1221461,1980634,100,0.0802676,0.0384,1,759173,"[5e+05,1e+06)","1",0.759173
"3",1,11725540,12607946,100,0.0165631,0.0128,1,882406,"[5e+05,1e+06)","1",0.882406
"4",1,2710410,3516931,100,1,0.2356,1,806521,"[5e+05,1e+06)","1",0.806521
"5",1,9192935,10029090,100,0.0532959,-0.0304,-1,836155,"[5e+05,1e+06)","1",0.836155
"6",1,5193460,6109910,100,0.181287,0.062,1,916450,"[5e+05,1e+06)","1",0.91645
"7",1,9192935,10136863,100,0.00756144,0.0064,1,943928,"[5e+05,1e+06)","1",0.943928
"8",1,15491058,16378569,100,0.0873016,-0.044,-1,887511,"[5e+05,1e+06)","1",0.887511
"9",1,24113189,24712724,100,0.481567,-0.1672,-1,599535,"[5e+05,1e+06)","1",0.599535
"10",1,13719933,14685992,100,0.725275,0.2112,1,966059,"[5e+05,1e+06)","1",0.966059
"11",1,21215791,22191515,100,0.0243902,-0.018,-1,975724,"[5e+05,1e+06)","1",0.975724
"12",1,21570037,22191515,100,0.202627,0.0864,1,621478,"[5e+05,1e+06)","1",0.621478
"13",1,12297800,13280331,100,0.147727,-0.0624,-1,982531,"[5e+05,1e+06)","1",0.982531
"14",1,20537234,21215791,100,0.285714,0.072,1,678557,"[5e+05,1e+06)","1",0.678557
"15",1,9223397,10136863,100,0.00966184,0.008,1,913466,"[5e+05,1e+06)","1",0.913466
"16",1,18695436,19264816,100,0.0165631,0.0128,1,569380,"[5e+05,1e+06)","1",0.56938
"17",1,11725540,12297800,100,0.0942029,0.0416,1,572260,"[5e+05,1e+06)","1",0.57226
"18",1,10136863,11286131,100,0.0532959,0.0304,1,1149268,"[1e+06,1.5e+06)","1",1.149268
"19",1,20537234,21570037,100,0.421296,-0.1456,-1,1032803,"[1e+06,1.5e+06)","1",1.032803
"20",1,11286131,12607946,100,0.116743,-0.0608,-1,1321815,"[1e+06,1.5e+06)","1",1.321815
"21",1,11286131,12297800,100,0.663978,-0.1976,-1,1011669,"[1e+06,1.5e+06)","1",1.011669
