"","CHR","POS1","POS2","N_CHR","R.2","D","Dprime","DIST","LEVEL","Rep","DIST_MB"
"1",1,16005685,16067511,100,0.00404061,0.0044,0.068323,61826,"[0,5e+05)","2",0.061826
"2",1,24362257,24774965,100,0.00651162,0.0079,0.0806946,412708,"[0,5e+05)","2",0.412708
"3",1,8972278,9452826,100,0.0204678,-0.014,-1,480548,"[0,5e+05)","2",0.480548
"4",1,12370307,12592976,100,0.0129935,-0.0104,-1,222669,"[0,5e+05)","2",0.222669
"5",1,10355506,10826766,100,0.0121744,0.0124,0.198718,471260,"[0,5e+05)","2",0.47126
"6",1,13505826,13891224,100,0.0148448,-0.011,-1,385398,"[0,5e+05)","2",0.385398
"7",1,14749407,14928675,100,0.0134865,0.0108,1,179268,"[0,5e+05)","2",0.179268
"8",1,15644427,16136204,100,3.24145e-05,9e-04,0.00687548,491777,"[0,5e+05)","2",0.491777
"9",1,6310234,6467345,100,0.006917,0.014,0.0909091,157111,"[0,5e+05)","2",0.157111
"10",1,23713433,23755418,100,0.0407108,-0.0405,-0.503106,41985,"[0,5e+05)","2",0.041985
"11",1,13494503,13762399,100,0.0230091,-0.0165,-0.622642,267896,"[0,5e+05)","2",0.267896
"12",1,18653061,18908913,100,0.0345269,0.018,0.264706,255852,"[0,5e+05)","2",0.255852
"13",1,11198397,11276698,100,0.0113595,-0.0115,-0.534884,78301,"[0,5e+05)","2",0.078301
"14",1,21547725,21830655,100,0.0100813,-0.0128,-0.561404,282930,"[0,5e+05)","2",0.28293
"15",1,2139991,2399125,100,0.00396152,-0.0035,-1,259134,"[0,5e+05)","2",0.259134
"16",1,22948559,23011730,100,0.001444,-0.0062,-0.134199,63171,"[0,5e+05)","2",0.063171
"17",1,2728037,3061092,100,0.0318225,-0.0414,-0.216301,333055,"[0,5e+05)","2",0.333055
"18",1,793010,1154973,100,0.0146007,0.0135,0.144385,361963,"[0,5e+05)","2",0.361963
"19",1,18978483,19179732,100,0.0316206,0.024,0.545455,201249,"[0,5e+05)","2",0.201249
"20",1,19757109,20046341,100,0.00966184,-0.008,-1,289232,"[0,5e+05)","2",0.289232
"21",1,21901686,22348548,100,0.0118577,-0.0096,-1,446862,"[0,5e+05)","2",0.446862
"22",1,13985691,14308993,100,0.0118577,-0.0096,-1,323302,"[0,5e+05)","2",0.323302
"23",1,13466368,13786549,100,0.00313972,-0.012,-0.0659341,320181,"[0,5e+05)","2",0.320181
"24",1,22865233,22948559,100,0.0423762,0.0356,0.470899,83326,"[0,5e+05)","2",0.083326
"25",1,12384942,12790194,100,0.0117019,0.0268,0.129594,405252,"[0,5e+05)","2",0.405252
"26",1,20650142,20921870,100,0.0137328,-0.011,-1,271728,"[0,5e+05)","2",0.271728
"27",1,24403095,24426563,100,0.0203972,-0.0152,-1,23468,"[0,5e+05)","2",0.023468
"28",1,18553602,18769622,100,0.000236239,0.0025,0.0588235,216020,"[0,5e+05)","2",0.21602
"29",1,20366687,20691742,100,0.00297729,-0.0055,-0.354839,325055,"[0,5e+05)","2",0.325055
"30",1,17003386,17070705,100,0.0772617,0.0222,0.425287,67319,"[0,5e+05)","2",0.067319
"31",1,20921870,21337793,100,0.010989,-0.009,-1,415923,"[0,5e+05)","2",0.415923
"32",1,130486,167239,100,0.0184922,-0.013,-1,36753,"[0,5e+05)","2",0.036753
"33",1,8732748,9139000,100,0.0037831,0.009,0.230769,406252,"[0,5e+05)","2",0.406252
"34",1,3966809,4110502,100,0.00560224,-0.012,-0.285714,143693,"[0,5e+05)","2",0.143693
"35",1,6607587,6719899,100,0.000513533,0.0054,0.034749,112312,"[0,5e+05)","2",0.112312
"36",1,8564879,8902605,100,0.0569856,0.0352,0.413146,337726,"[0,5e+05)","2",0.337726
"37",1,15708039,16067511,100,9.3261e-06,4e-04,0.00793651,359472,"[0,5e+05)","2",0.359472
"38",1,22996620,23029978,100,0.0344646,-0.0352,-0.200913,33358,"[0,5e+05)","2",0.033358
"39",1,3911298,4407593,100,0.000203211,0.0015,0.047619,496295,"[0,5e+05)","2",0.496295
"40",1,3624363,3710817,100,0.00407424,-0.0036,-1,86454,"[0,5e+05)","2",0.086454
"41",1,24342431,24714857,100,0.000401445,0.005,0.0212766,372426,"[0,5e+05)","2",0.372426
"42",1,24589037,24941885,100,0.00152158,-0.0052,-0.206349,352848,"[0,5e+05)","2",0.352848
"43",1,6961155,7116804,100,0.0010352,-0.004,-0.166667,155649,"[0,5e+05)","2",0.155649
"44",1,5263859,5562876,100,0.0115533,-0.009,-1,299017,"[0,5e+05)","2",0.299017
"45",1,17679607,18121125,100,0.000102291,-0.0012,-0.0384615,441518,"[0,5e+05)","2",0.441518
"46",1,1964309,2432139,100,0.00167084,-0.004,-0.285714,467830,"[0,5e+05)","2",0.46783
"47",1,17887163,18323092,100,0.0174452,0.022,0.215686,435929,"[0,5e+05)","2",0.435929
"48",1,3541707,3997874,100,0.00030525,0.002,0.0277778,456167,"[0,5e+05)","2",0.456167
"49",1,20464851,20544192,100,0.00189416,-0.0046,-0.0842491,79341,"[0,5e+05)","2",0.079341
"50",1,20875610,21057874,100,0.0126791,0.0189,0.274311,182264,"[0,5e+05)","2",0.182264
"51",1,9514979,9611049,100,0.0523054,-0.0287,-1,96070,"[0,5e+05)","2",0.09607
"52",1,764794,833089,100,0.0230892,0.0373,0.171652,68295,"[0,5e+05)","2",0.068295
"53",1,10541469,10953915,100,0.00585171,0.0162,0.168399,412446,"[0,5e+05)","2",0.412446
"54",1,20650142,21100412,100,0.00650503,-0.0055,-1,450270,"[0,5e+05)","2",0.45027
"55",1,15768741,15892510,100,8.93185e-31,-1.11022e-16,-5.55112e-15,123769,"[0,5e+05)","2",0.123769
"56",1,5447073,5618385,100,0.0139135,0.0148,0.596774,171312,"[0,5e+05)","2",0.171312
"57",1,16891900,17377347,100,0.000667657,-0.0031,-0.134199,485447,"[0,5e+05)","2",0.485447
"58",1,17508840,17782041,100,0.00549619,0.0091,0.102132,273201,"[0,5e+05)","2",0.273201
"59",1,19525048,20023186,100,0.000257998,-0.0032,-0.0196078,498138,"[0,5e+05)","2",0.498138
"60",1,21901686,22252772,100,0.0107474,0.0088,1,351086,"[0,5e+05)","2",0.351086
"61",1,3120648,3360027,100,0.0570241,0.048,0.615385,239379,"[0,5e+05)","2",0.239379
"62",1,12987875,13466368,100,0.0317363,0.0396,0.24812,478493,"[0,5e+05)","2",0.478493
"63",1,13189870,13520578,100,0.0112471,-0.0091,-1,330708,"[0,5e+05)","2",0.330708
"64",1,4852388,5077583,100,0.0102283,-0.0151,-0.430199,225195,"[0,5e+05)","2",0.225195
"65",1,8416858,8564879,100,0.00262573,-0.0056,-0.358974,148021,"[0,5e+05)","2",0.148021
"66",1,4303838,4799827,100,0.0732265,0.016,0.347826,495989,"[0,5e+05)","2",0.495989
"67",1,3885314,4043585,100,0.0153242,0.0132,0.305556,158271,"[0,5e+05)","2",0.158271
"68",1,19797567,20023186,100,0.0160616,-0.0264,-0.180328,225619,"[0,5e+05)","2",0.225619
