"","CHR","POS1","POS2","N_CHR","R.2","D","Dprime","DIST","LEVEL","Rep","DIST_MB"
"1",1,15900855,16679975,100,0.00870406,-0.0072,-1,779120,"[5e+05,1e+06)","2",0.77912
"2",1,11972543,12654236,100,0.00407424,-0.0036,-1,681693,"[5e+05,1e+06)","2",0.681693
"3",1,289504,802096,100,0.00407424,-0.0036,-1,512592,"[5e+05,1e+06)","2",0.512592
"4",1,5218544,6056561,100,0.0338164,-0.0224,-1,838017,"[5e+05,1e+06)","2",0.838017
"5",1,10574100,11380031,100,0.00335946,-0.003,-1,805931,"[5e+05,1e+06)","2",0.805931
"6",1,4458500,5218544,100,0.0432099,-0.028,-1,760044,"[5e+05,1e+06)","2",0.760044
"7",1,20491430,21326101,100,0.00407424,-0.0036,-1,834671,"[5e+05,1e+06)","2",0.834671
"8",1,15091500,15844786,100,0.00555042,-0.0048,-1,753286,"[5e+05,1e+06)","2",0.753286
"9",1,15900855,16709701,100,0.032882,0.0204,1,808846,"[5e+05,1e+06)","2",0.808846
"10",1,11972543,13260476,100,0.0070922,-0.006,-1,1287933,"[1e+06,1.5e+06)","2",1.287933
"11",1,11323518,12654236,100,0.0070922,-0.006,-1,1330718,"[1e+06,1.5e+06)","2",1.330718
"12",1,10574100,11972543,100,0.00407424,-0.0036,-1,1398443,"[1e+06,1.5e+06)","2",1.398443
"13",1,20266672,21326101,100,0.0248227,-0.0168,-1,1059429,"[1e+06,1.5e+06)","2",1.059429
"14",1,10574100,11603291,100,0.00480439,-0.0042,-1,1029191,"[1e+06,1.5e+06)","2",1.029191
"15",1,18827422,20266672,100,0.0248227,-0.0168,-1,1439250,"[1e+06,1.5e+06)","2",1.43925
"16",1,10089074,11380031,100,0.00335946,-0.003,-1,1290957,"[1e+06,1.5e+06)","2",1.290957
"17",1,15213196,16679975,100,0.0102639,-0.0084,-1,1466779,"[1e+06,1.5e+06)","2",1.466779
"18",1,11380031,12654236,100,0.00335946,-0.003,-1,1274205,"[1e+06,1.5e+06)","2",1.274205
"19",1,13260476,15900855,100,0.0070922,-0.006,-1,2640379,"[2.5e+06,3e+06)","2",2.640379
"20",1,10089074,12654236,100,0.00407424,-0.0036,-1,2565162,"[2.5e+06,3e+06)","2",2.565162
"21",1,289504,3063845,100,0.0070922,-0.006,-1,2774341,"[2.5e+06,3e+06)","2",2.774341
"22",1,12654236,15175855,100,0.00407424,-0.0036,-1,2521619,"[2.5e+06,3e+06)","2",2.521619
"23",1,5218544,8180127,100,0.0204678,-0.014,-1,2961583,"[2.5e+06,3e+06)","2",2.961583
"24",1,10574100,13260476,100,0.0070922,-0.006,-1,2686376,"[2.5e+06,3e+06)","2",2.686376
"25",1,15900855,18827422,100,0.00407424,-0.0036,-1,2926567,"[2.5e+06,3e+06)","2",2.926567
"26",1,5382508,8180127,100,0.00335946,-0.003,-1,2797619,"[2.5e+06,3e+06)","2",2.797619
"27",1,12654236,15213196,100,0.00480439,-0.0042,-1,2558960,"[2.5e+06,3e+06)","2",2.55896
"28",1,20491430,24977912,100,0.00870406,-0.0072,-1,4486482,"[4e+06,4.5e+06)","2",4.486482
"29",1,18827422,23208046,100,0.00870406,-0.0072,-1,4380624,"[4e+06,4.5e+06)","2",4.380624
"30",1,6056561,10089074,100,0.00555042,-0.0048,-1,4032513,"[4e+06,4.5e+06)","2",4.032513
"31",1,11380031,15844786,100,0.00335946,-0.003,-1,4464755,"[4e+06,4.5e+06)","2",4.464755
"32",1,1007827,5218544,100,0.0432099,-0.028,-1,4210717,"[4e+06,4.5e+06)","2",4.210717
"33",1,802096,5218544,100,0.0248227,-0.0168,-1,4416448,"[4e+06,4.5e+06)","2",4.416448
"34",1,20491430,24749493,100,0.00870406,-0.0072,-1,4258063,"[4e+06,4.5e+06)","2",4.258063
"35",1,1007827,5382508,100,0.0070922,-0.006,-1,4374681,"[4e+06,4.5e+06)","2",4.374681
"36",1,20491430,24852834,100,0.123905,-0.0396,-1,4361404,"[4e+06,4.5e+06)","2",4.361404
"37",1,18222888,23208046,100,0.0221987,-0.0168,-1,4985158,"[4.5e+06,5e+06)","2",4.985158
"38",1,1444014,6056561,100,0.00555042,-0.0048,-1,4612547,"[4.5e+06,5e+06)","2",4.612547
"39",1,5382508,10089074,100,0.00407424,-0.0036,-1,4706566,"[4.5e+06,5e+06)","2",4.706566
"40",1,15900855,20491430,100,0.00407424,-0.0036,-1,4590575,"[4.5e+06,5e+06)","2",4.590575
"41",1,289504,5218544,100,0.0248227,-0.0168,-1,4929040,"[4.5e+06,5e+06)","2",4.92904
"42",1,802096,5382508,100,0.00407424,-0.0036,-1,4580412,"[4.5e+06,5e+06)","2",4.580412
"43",1,20266672,24977912,100,0.0530303,-0.0336,-1,4711240,"[4.5e+06,5e+06)","2",4.71124
"44",1,6056561,10574100,100,0.00555042,-0.0048,-1,4517539,"[4.5e+06,5e+06)","2",4.517539
"45",1,11323518,15844786,100,0.0070922,-0.006,-1,4521268,"[4.5e+06,5e+06)","2",4.521268
"46",1,11323518,16679975,100,0.0151515,-0.012,-1,5356457,"[5e+06,5.5e+06)","2",5.356457
"47",1,10574100,15844786,100,0.00407424,-0.0036,-1,5270686,"[5e+06,5.5e+06)","2",5.270686
"48",1,5382508,10574100,100,1,0.0564,1,5191592,"[5e+06,5.5e+06)","2",5.191592
"49",1,6056561,11380031,100,0.00457666,-0.004,-1,5323470,"[5e+06,5.5e+06)","2",5.32347
"50",1,10089074,15091500,100,0.00555042,-0.0048,-1,5002426,"[5e+06,5.5e+06)","2",5.002426
"51",1,15175855,20491430,100,0.00407424,-0.0036,-1,5315575,"[5e+06,5.5e+06)","2",5.315575
"52",1,10574100,15900855,100,0.00407424,-0.0036,-1,5326755,"[5e+06,5.5e+06)","2",5.326755
"53",1,8180127,13260476,100,0.00584795,-0.005,-1,5080349,"[5e+06,5.5e+06)","2",5.080349
"54",1,11603291,16709701,100,0.0387748,0.0238,1,5106410,"[5e+06,5.5e+06)","2",5.10641
"55",1,289504,6056561,100,0.734043,0.0552,1,5767057,"[5.5e+06,6e+06)","2",5.767057
"56",1,13260476,18827422,100,0.0070922,-0.006,-1,5566946,"[5.5e+06,6e+06)","2",5.566946
"57",1,10089074,15844786,100,0.00407424,-0.0036,-1,5755712,"[5.5e+06,6e+06)","2",5.755712
"58",1,5382508,11380031,100,0.00335946,-0.003,-1,5997523,"[5.5e+06,6e+06)","2",5.997523
"59",1,18827422,24749493,100,0.00870406,-0.0072,-1,5922071,"[5.5e+06,6e+06)","2",5.922071
"60",1,12654236,18222888,100,0.0103909,-0.0084,-1,5568652,"[5.5e+06,6e+06)","2",5.568652
"61",1,4458500,10089074,100,0.0070922,-0.006,-1,5630574,"[5.5e+06,6e+06)","2",5.630574
"62",1,6056561,11603291,100,0.00654511,-0.0056,-1,5546730,"[5.5e+06,6e+06)","2",5.54673
"63",1,5382508,11323518,100,0.0070922,-0.006,-1,5941010,"[5.5e+06,6e+06)","2",5.94101
"64",1,11323518,18827422,100,0.0070922,-0.006,-1,7503904,"[7.5e+06,8e+06)","2",7.503904
"65",1,3063845,10574100,100,0.0070922,-0.006,-1,7510255,"[7.5e+06,8e+06)","2",7.510255
"66",1,12654236,20266672,100,0.0248227,-0.0168,-1,7612436,"[7.5e+06,8e+06)","2",7.612436
"67",1,5382508,13260476,100,0.0070922,-0.006,-1,7877968,"[7.5e+06,8e+06)","2",7.877968
"68",1,15213196,23208046,100,0.0102639,-0.0084,-1,7994850,"[7.5e+06,8e+06)","2",7.99485
"69",1,4458500,11972543,100,0.0070922,-0.006,-1,7514043,"[7.5e+06,8e+06)","2",7.514043
"70",1,12654236,20491430,100,0.00407424,-0.0036,-1,7837194,"[7.5e+06,8e+06)","2",7.837194
