"","CHR","POS1","POS2","N_CHR","R.2","D","Dprime","DIST","LEVEL","Rep","DIST_MB"
"1",1,16032158,16136971,100,0.0293769,-0.0326,-0.317739,104813,"[0,5e+05)","1",0.104813
"2",1,14393078,14776129,100,0.0318389,-0.028,-0.736842,383051,"[0,5e+05)","1",0.383051
"3",1,18236019,18339543,100,0.00399939,-0.0071,-0.415205,103524,"[0,5e+05)","1",0.103524
"4",1,18669411,18873497,100,0.0117072,-0.0134,-0.308756,204086,"[0,5e+05)","1",0.204086
"5",1,10701565,10797388,100,0.111527,0.0477,1,95823,"[0,5e+05)","1",0.095823
"6",1,2140887,2389522,100,0.02171,-0.027,-0.230769,248635,"[0,5e+05)","1",0.248635
"7",1,7229095,7491593,100,0.0224267,0.0156,1,262498,"[0,5e+05)","1",0.262498
"8",1,8639256,9067265,100,0.00229393,-0.0059,-0.227799,428009,"[0,5e+05)","1",0.428009
"9",1,20353517,20817986,100,0.0083632,-0.007,-1,464469,"[0,5e+05)","1",0.464469
"10",1,22403024,22543910,100,0.0161002,-0.0126,-1,140886,"[0,5e+05)","1",0.140886
"11",1,1881290,2201761,100,0.023199,-0.0171,-1,320471,"[0,5e+05)","1",0.320471
"12",1,9010601,9167738,100,0.054865,0.0244,0.54955,157137,"[0,5e+05)","1",0.157137
"13",1,16791696,16802975,100,0.0361446,-0.0255,-1,11279,"[0,5e+05)","1",0.011279
"14",1,21934457,22068206,100,0.0786429,0.0571,0.533147,133749,"[0,5e+05)","1",0.133749
"15",1,886321,1176362,100,0.00277008,-0.0025,-1,290041,"[0,5e+05)","1",0.290041
"16",1,2103798,2201761,100,0.0188383,-0.0144,-1,97963,"[0,5e+05)","1",0.097963
"17",1,9947654,10175249,100,0.0289105,0.0402,0.223085,227595,"[0,5e+05)","1",0.227595
"18",1,10603040,10729240,100,0.00520532,-0.0045,-1,126200,"[0,5e+05)","1",0.1262
"19",1,20228312,20392203,100,0.0413534,-0.022,-1,163891,"[0,5e+05)","1",0.163891
"20",1,8170890,8337026,100,0.0184683,-0.0143,-1,166136,"[0,5e+05)","1",0.166136
"21",1,15867541,15938713,100,0.0157211,-0.0115,-1,71172,"[0,5e+05)","1",0.071172
"22",1,2903012,3130255,100,0.00181847,-0.0092,-0.0927419,227243,"[0,5e+05)","1",0.227243
"23",1,4498850,4591334,100,0.0030484,0.0056,0.122807,92484,"[0,5e+05)","1",0.092484
"24",1,22565371,22729785,100,0.00631284,-0.0054,-1,164414,"[0,5e+05)","1",0.164414
"25",1,23272826,23487959,100,0.0182899,0.0179,0.641577,215133,"[0,5e+05)","1",0.215133
"26",1,8577967,8616997,100,0.0845531,-0.0164,-0.29078,39030,"[0,5e+05)","1",0.03903
"27",1,9232916,9637820,100,0.024024,0.0336,0.324324,404904,"[0,5e+05)","1",0.404904
"28",1,20931424,21170975,100,0.0083632,-0.007,-1,239551,"[0,5e+05)","1",0.239551
"29",1,15643529,15952620,100,0.021164,-0.016,-1,309091,"[0,5e+05)","1",0.309091
"30",1,8075573,8462256,100,0.010989,-0.009,-1,386683,"[0,5e+05)","1",0.386683
"31",1,8998468,9378694,100,0.021164,0.02,0.666667,380226,"[0,5e+05)","1",0.380226
"32",1,669885,1060033,100,0.025923,-0.0165,-1,390148,"[0,5e+05)","1",0.390148
"33",1,17209637,17326546,100,0.0567817,-0.0301,-1,116909,"[0,5e+05)","1",0.116909
"34",1,4684970,5015144,100,0.00389414,-0.0068,-0.404762,330174,"[0,5e+05)","1",0.330174
"35",1,2042297,2282867,100,3.2427e-05,-8e-04,-0.025974,240570,"[0,5e+05)","1",0.24057
