"","CHR","POS1","POS2","N_CHR","R.2","D","Dprime","DIST","LEVEL","Rep","DIST_MB"
"1",1,3320200,3801362,100,0.922988,-0.2397,-1,481162,"[0,5e+05)","2",0.481162
"2",1,1750206,2069573,100,1,-0.25,-1,319367,"[0,5e+05)","2",0.319367
"3",1,23061726,23441167,100,0.0083632,-0.007,-1,379441,"[0,5e+05)","2",0.379441
"4",1,12297173,12416416,100,1,-0.25,-1,119243,"[0,5e+05)","2",0.119243
"5",1,6676180,6929927,100,1,-0.25,-1,253747,"[0,5e+05)","2",0.253747
"6",1,18669646,18926969,100,0.666667,-0.2,-1,257323,"[0,5e+05)","2",0.257323
"7",1,3386926,3773389,100,1,-0.25,-1,386463,"[0,5e+05)","2",0.386463
"8",1,7727104,8071914,100,0.754386,0.215,1,344810,"[0,5e+05)","2",0.34481
"9",1,9677980,9868244,100,0.047619,-0.05,-0.333333,190264,"[0,5e+05)","2",0.190264
"10",1,12198509,12437018,100,0.0752688,0.035,1,238509,"[0,5e+05)","2",0.238509
"11",1,24041305,24424705,100,1,-0.25,-1,383400,"[0,5e+05)","2",0.3834
"12",1,16849669,17187860,100,1,-0.25,-1,338191,"[0,5e+05)","2",0.338191
"13",1,19798505,20124363,100,1,0.25,1,325858,"[0,5e+05)","2",0.325858
"14",1,24668390,24948963,100,0.754386,-0.215,-1,280573,"[0,5e+05)","2",0.280573
"15",1,19075591,19128354,100,0.960784,0.245,1,52763,"[0,5e+05)","2",0.052763
"16",1,4450062,4688864,100,0.125296,0.053,1,238802,"[0,5e+05)","2",0.238802
"17",1,23677338,23962145,100,1,-0.25,-1,284807,"[0,5e+05)","2",0.284807
"18",1,10615768,10732370,100,0.0942029,0.0416,1,116602,"[0,5e+05)","2",0.116602
"19",1,8234075,8507987,100,0.923077,0.24,1,273912,"[0,5e+05)","2",0.273912
"20",1,22325491,22534827,100,0.715909,0.21,0.954545,209336,"[0,5e+05)","2",0.209336
"21",1,14914909,15268245,100,0.960784,-0.245,-1,353336,"[0,5e+05)","2",0.353336
"22",1,19539896,19978466,100,0.230769,0.096,1,438570,"[0,5e+05)","2",0.43857
"23",1,673196,1071660,100,1,-0.25,-1,398464,"[0,5e+05)","2",0.398464
"24",1,8523216,8892938,100,0.25,-0.1,-1,369722,"[0,5e+05)","2",0.369722
"25",1,17014097,17396180,100,1,-0.25,-1,382083,"[0,5e+05)","2",0.382083
"26",1,13517528,13630458,100,1,0.25,1,112930,"[0,5e+05)","2",0.11293
"27",1,21189869,21294512,100,1,-0.25,-1,104643,"[0,5e+05)","2",0.104643
"28",1,977878,1155103,100,0.111111,0.05,1,177225,"[0,5e+05)","2",0.177225
"29",1,11908885,12136743,100,1,0.25,1,227858,"[0,5e+05)","2",0.227858
"30",1,18375336,18428878,100,1,-0.25,-1,53542,"[0,5e+05)","2",0.053542
"31",1,23490404,23602296,100,0.886792,-0.235,-1,111892,"[0,5e+05)","2",0.111892
"32",1,21294512,21380220,100,0.851852,0.23,1,85708,"[0,5e+05)","2",0.085708
"33",1,1523536,1750206,100,0.666667,-0.2,-1,226670,"[0,5e+05)","2",0.22667
"34",1,4751743,5131209,100,0.0526316,0.025,1,379466,"[0,5e+05)","2",0.379466
"35",1,23162173,23563921,100,1,-0.25,-1,401748,"[0,5e+05)","2",0.401748
"36",1,705422,1032055,100,0.0989011,0.045,1,326633,"[0,5e+05)","2",0.326633
"37",1,2025994,2332183,100,0.0869565,-0.04,-1,306189,"[0,5e+05)","2",0.306189
"38",1,18236927,18566694,100,0.886792,0.235,1,329767,"[0,5e+05)","2",0.329767
"39",1,1304024,1689829,100,0.0526316,0.025,1,385805,"[0,5e+05)","2",0.385805
"40",1,4589258,4955901,100,0.960784,-0.245,-1,366643,"[0,5e+05)","2",0.366643
"41",1,434285,840605,100,0.0752688,-0.035,-1,406320,"[0,5e+05)","2",0.40632
"42",1,9517869,9940176,100,0.923077,-0.24,-1,422307,"[0,5e+05)","2",0.422307
"43",1,5840334,6166458,100,1,-0.25,-1,326124,"[0,5e+05)","2",0.326124
"44",1,14337168,14795066,100,1,-0.25,-1,457898,"[0,5e+05)","2",0.457898
"45",1,22763401,22942759,100,0.754386,-0.215,-1,179358,"[0,5e+05)","2",0.179358
"46",1,17944564,18313640,100,0.960784,-0.245,-1,369076,"[0,5e+05)","2",0.369076
"47",1,8939880,9432888,100,1,0.25,1,493008,"[0,5e+05)","2",0.493008
"48",1,19662243,19888313,100,1,0.25,1,226070,"[0,5e+05)","2",0.22607
"49",1,14440864,14483766,100,1,0.25,1,42902,"[0,5e+05)","2",0.042902
"50",1,11102813,11389600,100,0.162791,0.07,1,286787,"[0,5e+05)","2",0.286787
"51",1,18576832,18992116,100,0.0526316,-0.025,-1,415284,"[0,5e+05)","2",0.415284
"52",1,4788899,5061282,100,1,-0.25,-1,272383,"[0,5e+05)","2",0.272383
"53",1,11033859,11150480,100,1,0.25,1,116621,"[0,5e+05)","2",0.116621
"54",1,17383874,17461228,100,1,0.25,1,77354,"[0,5e+05)","2",0.077354
"55",1,2857402,3121669,100,0.428571,0.15,1,264267,"[0,5e+05)","2",0.264267
"56",1,17532564,17904095,100,0.960784,0.245,1,371531,"[0,5e+05)","2",0.371531
"57",1,20683324,21126395,100,1,-0.25,-1,443071,"[0,5e+05)","2",0.443071
"58",1,7250248,7454759,100,1,-0.25,-1,204511,"[0,5e+05)","2",0.204511
"59",1,19618777,20061987,100,0.960784,-0.245,-1,443210,"[0,5e+05)","2",0.44321
"60",1,9606783,9692458,100,0.886792,0.235,1,85675,"[0,5e+05)","2",0.085675
"61",1,23469078,23935112,100,0.331395,0.114,1,466034,"[0,5e+05)","2",0.466034
"62",1,308800,444665,100,0.754386,0.215,1,135865,"[0,5e+05)","2",0.135865
"63",1,14257989,14619092,100,1,-0.25,-1,361103,"[0,5e+05)","2",0.361103
"64",1,19651860,19781354,100,0.960784,-0.245,-1,129494,"[0,5e+05)","2",0.129494
"65",1,9692458,10043594,100,1,0.25,1,351136,"[0,5e+05)","2",0.351136
"66",1,3852105,4304169,100,1,0.25,1,452064,"[0,5e+05)","2",0.452064
"67",1,20285245,20746002,100,0.886792,0.235,1,460757,"[0,5e+05)","2",0.460757
"68",1,11302615,11355017,100,0.0188172,-0.014,-1,52402,"[0,5e+05)","2",0.052402
"69",1,3397499,3544952,100,1,0.25,1,147453,"[0,5e+05)","2",0.147453
"70",1,4043433,4149661,100,1,0.25,1,106228,"[0,5e+05)","2",0.106228
"71",1,6651418,7051454,100,0.111111,-0.05,-1,400036,"[0,5e+05)","2",0.400036
"72",1,7564518,7821061,100,0.923077,0.24,1,256543,"[0,5e+05)","2",0.256543
"73",1,18454004,18659422,100,1,-0.25,-1,205418,"[0,5e+05)","2",0.205418
"74",1,7727104,7804557,100,0.754386,0.215,1,77453,"[0,5e+05)","2",0.077453
"75",1,18247970,18454004,100,1,0.25,1,206034,"[0,5e+05)","2",0.206034
"76",1,6355600,6573861,100,0.923077,0.24,1,218261,"[0,5e+05)","2",0.218261
"77",1,16465293,16630582,100,1,0.25,1,165289,"[0,5e+05)","2",0.165289
"78",1,18669646,18977839,100,0.627518,0.194,0.95098,308193,"[0,5e+05)","2",0.308193
"79",1,24292940,24605554,100,0.111111,0.05,1,312614,"[0,5e+05)","2",0.312614
"80",1,15020350,15200865,100,1,-0.25,-1,180515,"[0,5e+05)","2",0.180515
"81",1,15151849,15430309,100,0.960784,-0.245,-1,278460,"[0,5e+05)","2",0.27846
"82",1,13396011,13883288,100,1,-0.25,-1,487277,"[0,5e+05)","2",0.487277
"83",1,14243884,14454466,100,0.0638298,-0.03,-1,210582,"[0,5e+05)","2",0.210582
"84",1,1961072,2244476,100,1,-0.25,-1,283404,"[0,5e+05)","2",0.283404
"85",1,21501208,21756580,100,1,-0.25,-1,255372,"[0,5e+05)","2",0.255372
"86",1,19836200,20219014,100,0.0638298,-0.03,-1,382814,"[0,5e+05)","2",0.382814
"87",1,23151752,23415716,100,1,-0.25,-1,263964,"[0,5e+05)","2",0.263964
"88",1,1924193,2256436,100,1,-0.25,-1,332243,"[0,5e+05)","2",0.332243
"89",1,705422,738551,100,0.0989011,-0.045,-1,33129,"[0,5e+05)","2",0.033129
"90",1,9117110,9376405,100,0.111111,-0.05,-1,259295,"[0,5e+05)","2",0.259295
"91",1,9991436,10345350,100,1,0.25,1,353914,"[0,5e+05)","2",0.353914
"92",1,12226216,12555561,100,0.818182,-0.225,-1,329345,"[0,5e+05)","2",0.329345
"93",1,9279153,9703943,100,0.883954,0.235,0.959184,424790,"[0,5e+05)","2",0.42479
"94",1,14136977,14402719,100,0.724138,0.21,1,265742,"[0,5e+05)","2",0.265742
"95",1,9756803,9950194,100,0.0752688,0.035,1,193391,"[0,5e+05)","2",0.193391
