"","CHR","POS1","POS2","N_CHR","R.2","D","Dprime","DIST","LEVEL","Rep","DIST_MB"
"1",1,18088548,18151037,100,0.0086001,-0.0072,-1,62489,"[0,5e+05)","1",0.062489
"2",1,5269421,5469235,100,0.00898029,0.013,0.105691,199814,"[0,5e+05)","1",0.199814
"3",1,23338037,23447323,100,0.176548,0.0536,1,109286,"[0,5e+05)","1",0.109286
"4",1,22550685,22649505,100,0.0278392,-0.0189,-1,98820,"[0,5e+05)","1",0.09882
"5",1,4759222,5018202,100,0.000155601,0.0024,0.012474,258980,"[0,5e+05)","1",0.25898
"6",1,21072119,21380717,100,0.049851,0.0418,0.455338,308598,"[0,5e+05)","1",0.308598
"7",1,3912025,4138510,100,0.00919305,0.009,0.101124,226485,"[0,5e+05)","1",0.226485
"8",1,14368955,14412016,100,0.3143,0.1401,0.583507,43061,"[0,5e+05)","1",0.043061
"9",1,1027163,1064542,100,0.023199,-0.0171,-1,37379,"[0,5e+05)","1",0.037379
"10",1,21874521,22189191,100,0.0753795,0.0311,0.608611,314670,"[0,5e+05)","1",0.31467
"11",1,4837825,5188123,100,0.00144567,-0.0038,-0.275362,350298,"[0,5e+05)","1",0.350298
"12",1,31074,171902,100,0.00543901,0.0175,0.111111,140828,"[0,5e+05)","1",0.140828
"13",1,10895680,11324233,100,0.0469732,-0.0339,-0.628942,428553,"[0,5e+05)","1",0.428553
"14",1,1640865,1941056,100,0.0386162,-0.0316,-0.759615,300191,"[0,5e+05)","1",0.300191
"15",1,23357238,23843105,100,0.00236407,-0.005,-0.111111,485867,"[0,5e+05)","1",0.485867
"16",1,4622195,4987760,100,0.0357006,0.0234,0.539171,365565,"[0,5e+05)","1",0.365565
"17",1,24708251,24720641,100,0.00870406,-0.0072,-1,12390,"[0,5e+05)","1",0.01239
"18",1,6381833,6394158,100,0.0369181,-0.0253,-1,12325,"[0,5e+05)","1",0.012325
"19",1,23918199,24311858,100,0.0678676,0.0216,0.350649,393659,"[0,5e+05)","1",0.393659
"20",1,9423908,9456303,100,1,0.0564,1,32395,"[0,5e+05)","1",0.032395
"21",1,4799446,4951143,100,0.00717703,-0.006,-1,151697,"[0,5e+05)","1",0.151697
"22",1,15265047,15362909,100,0.0757551,-0.0459,-1,97862,"[0,5e+05)","1",0.097862
"23",1,24311858,24708251,100,0.00480439,-0.0042,-1,396393,"[0,5e+05)","1",0.396393
"24",1,10633551,10717595,100,0.278988,-0.1228,-0.710648,84044,"[0,5e+05)","1",0.084044
"25",1,2417192,2604035,100,0.00654511,-0.0056,-1,186843,"[0,5e+05)","1",0.186843
"26",1,9213558,9569834,100,0.000111408,-0.002,-0.0151515,356276,"[0,5e+05)","1",0.356276
"27",1,1684954,2030171,100,0.0123457,-0.0095,-1,345217,"[0,5e+05)","1",0.345217
"28",1,5112458,5438664,100,0.00277008,-0.0025,-1,326206,"[0,5e+05)","1",0.326206
"29",1,3082166,3178610,100,0.00251706,0.0064,0.242424,96444,"[0,5e+05)","1",0.096444
"30",1,22749966,22971661,100,0.00485097,-0.0133,-0.0814452,221695,"[0,5e+05)","1",0.221695
"31",1,2806759,2816885,100,0.1423,-0.0365,-1,10126,"[0,5e+05)","1",0.010126
"32",1,277796,580255,100,0.104143,0.0372,1,302459,"[0,5e+05)","1",0.302459
"33",1,6721677,7199789,100,0.00295017,-0.0108,-0.0767045,478112,"[0,5e+05)","1",0.478112
"34",1,24593995,24668579,100,0.0523054,-0.0287,-1,74584,"[0,5e+05)","1",0.074584
"35",1,1152025,1640865,100,0.0160447,0.0232,0.278846,488840,"[0,5e+05)","1",0.48884
"36",1,2496693,2968105,100,0.0362965,-0.0243,-0.708455,471412,"[0,5e+05)","1",0.471412
"37",1,2563694,2998271,100,0.000563376,-0.0053,-0.0271377,434577,"[0,5e+05)","1",0.434577
"38",1,16826866,17025061,100,0.10277,0.0338,0.771689,198195,"[0,5e+05)","1",0.198195
"39",1,13780893,14203647,100,0.0130973,-0.0172,-0.462366,422754,"[0,5e+05)","1",0.422754
"40",1,1164775,1291288,100,0.0420875,-0.05,-0.227273,126513,"[0,5e+05)","1",0.126513
"41",1,15566193,15758822,100,0.0289855,0.02,1,192629,"[0,5e+05)","1",0.192629
"42",1,7007765,7161261,100,0.00788907,-0.0066,-1,153496,"[0,5e+05)","1",0.153496
"43",1,9569834,9713524,100,0.00260417,-0.01,-0.125,143690,"[0,5e+05)","1",0.14369
"44",1,7697159,8051962,100,0.000237934,0.0018,0.0161002,354803,"[0,5e+05)","1",0.354803
"45",1,18527881,18846954,100,0.00584795,-0.012,-0.0789474,319073,"[0,5e+05)","1",0.319073
"46",1,14047455,14264973,100,0.0115533,0.009,1,217518,"[0,5e+05)","1",0.217518
"47",1,5642616,5729853,100,0.00584795,0.005,1,87237,"[0,5e+05)","1",0.087237
"48",1,11572056,11839301,100,0.00584795,-0.005,-1,267245,"[0,5e+05)","1",0.267245
"49",1,4737105,4951143,100,0.0206934,-0.0145,-0.42029,214038,"[0,5e+05)","1",0.214038
"50",1,12175244,12506683,100,0.0134865,-0.0108,-1,331439,"[0,5e+05)","1",0.331439
"51",1,5642616,5913991,100,0.0954489,-0.029,-0.325843,271375,"[0,5e+05)","1",0.271375
"52",1,15346680,15386639,100,0.115211,-0.0612,-1,39959,"[0,5e+05)","1",0.039959
"53",1,13697568,13983645,100,0.0076455,0.0105,0.0950226,286077,"[0,5e+05)","1",0.286077
"54",1,7581434,8066571,100,0.0359477,0.022,0.215686,485137,"[0,5e+05)","1",0.485137
"55",1,23703786,24095934,100,0.0181921,0.0219,0.267399,392148,"[0,5e+05)","1",0.392148
"56",1,20696988,20803084,100,0.00654511,-0.0056,-1,106096,"[0,5e+05)","1",0.106096
"57",1,23357238,23583504,100,0.03,0.03,0.6,226266,"[0,5e+05)","1",0.226266
"58",1,10882089,11354515,100,0.149798,0.037,1,472426,"[0,5e+05)","1",0.472426
"59",1,19913985,20235783,100,0.168399,-0.0567,-1,321798,"[0,5e+05)","1",0.321798
"60",1,8809726,9002731,100,0.0132827,0.0105,1,193005,"[0,5e+05)","1",0.193005
"61",1,2462077,2633232,100,0.0587852,0.0278,0.73545,171155,"[0,5e+05)","1",0.171155
"62",1,15362909,15690301,100,0.01078,-0.0085,-1,327392,"[0,5e+05)","1",0.327392
"63",1,11324233,11428515,100,0.0504827,-0.0319,-1,104282,"[0,5e+05)","1",0.104282
