"","CHR","POS1","POS2","N_CHR","R.2","D","Dprime","DIST","LEVEL","Rep","DIST_MB"
"1",1,8004590,8245973,100,0.000420875,0.002,0.166667,241383,"[0,5e+05)","1",0.241383
"2",1,15751739,16235562,100,8.49185e-05,-0.0012,-0.0234375,483823,"[0,5e+05)","1",0.483823
"3",1,7864745,8141817,100,0.033957,0.035,0.189189,277072,"[0,5e+05)","1",0.277072
"4",1,9939637,9987524,100,0.00788907,-0.0066,-1,47887,"[0,5e+05)","1",0.047887
"5",1,17624925,17807091,100,4.90974e-05,0.0012,0.0147783,182166,"[0,5e+05)","1",0.182166
"6",1,9778737,10198795,100,0.000974659,-0.004,-0.166667,420058,"[0,5e+05)","1",0.420058
"7",1,7177928,7249261,100,0.00480439,-0.0042,-1,71333,"[0,5e+05)","1",0.071333
"8",1,4621642,4680359,100,0.0166205,-0.012,-1,58717,"[0,5e+05)","1",0.058717
"9",1,17657112,17873171,100,0.00305707,-0.006,-0.375,216059,"[0,5e+05)","1",0.216059
"10",1,7192387,7249261,100,0.0026009,0.0053,0.0958409,56874,"[0,5e+05)","1",0.056874
"11",1,20510603,20524959,100,0.588585,0.164,0.803922,14356,"[0,5e+05)","1",0.014356
"12",1,3789088,4074796,100,0.0037594,0.006,0.166667,285708,"[0,5e+05)","1",0.285708
"13",1,14656818,14760087,100,5.37704e-06,-4e-04,-0.00793651,103269,"[0,5e+05)","1",0.103269
"14",1,11951294,12079571,100,0.00724638,-0.01,-0.5,128277,"[0,5e+05)","1",0.128277
"15",1,10825644,11104053,100,0.04,0.03,0.6,278409,"[0,5e+05)","1",0.278409
"16",1,13308394,13651212,100,0.00481383,0.007,0.0804598,342818,"[0,5e+05)","1",0.342818
"17",1,1798706,2062100,100,0.0500511,-0.035,-0.636364,263394,"[0,5e+05)","1",0.263394
"18",1,7370563,7652361,100,0.043905,0.0284,0.739583,281798,"[0,5e+05)","1",0.281798
"19",1,4098446,4497139,100,0.00117312,-0.0035,-0.259259,398693,"[0,5e+05)","1",0.398693
"20",1,16943563,17172094,100,0.060636,-0.0444,-0.470339,228531,"[0,5e+05)","1",0.228531
"21",1,615547,928087,100,7.68802e-05,-8e-04,-0.0740741,312540,"[0,5e+05)","1",0.31254
"22",1,15927614,16351313,100,0.00566539,-0.0049,-1,423699,"[0,5e+05)","1",0.423699
"23",1,17657112,17822982,100,0.0397284,0.0224,0.358974,165870,"[0,5e+05)","1",0.16587
"24",1,23494237,23505163,100,0.43898,0.162,0.764151,10926,"[0,5e+05)","1",0.010926
"25",1,11951294,12053042,100,0.0238727,-0.0225,-0.692308,101748,"[0,5e+05)","1",0.101748
"26",1,5229765,5607184,100,0.0109513,-0.0237,-0.154196,377419,"[0,5e+05)","1",0.377419
"27",1,18405803,18802939,100,0.00779589,0.0165,0.215686,397136,"[0,5e+05)","1",0.397136
"28",1,10510353,10825644,100,0.000420875,-0.002,-0.166667,315291,"[0,5e+05)","1",0.315291
"29",1,4217613,4411741,100,0.0086001,-0.0072,-1,194128,"[0,5e+05)","1",0.194128
"30",1,856467,996885,100,0.00870406,-0.0072,-1,140418,"[0,5e+05)","1",0.140418
"31",1,11064356,11139216,100,0.00654511,-0.0056,-1,74860,"[0,5e+05)","1",0.07486
"32",1,895888,1241403,100,0.029781,0.0344,0.176955,345515,"[0,5e+05)","1",0.345515
"33",1,1985010,2172835,100,0.0758145,0.022,0.52381,187825,"[0,5e+05)","1",0.187825
"34",1,22013781,22362617,100,0.0004024,0.0044,0.0205224,348836,"[0,5e+05)","1",0.348836
"35",1,15656733,15669590,100,0.185917,0.0562,0.483649,12857,"[0,5e+05)","1",0.012857
"36",1,4009715,4484440,100,0.0188172,-0.014,-1,474725,"[0,5e+05)","1",0.474725
"37",1,14243769,14626392,100,0.0123301,-0.0128,-0.561404,382623,"[0,5e+05)","1",0.382623
"38",1,24109299,24567046,100,0.00152094,-0.0061,-0.108734,457747,"[0,5e+05)","1",0.457747
"39",1,22036935,22411350,100,0.0157539,0.0138,0.186992,374415,"[0,5e+05)","1",0.374415
"40",1,9958473,9987524,100,0.0413953,0.0316,0.512987,29051,"[0,5e+05)","1",0.029051
"41",1,20743050,20774248,100,0.00786449,-0.0065,-1,31198,"[0,5e+05)","1",0.031198
